game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Willie Cauley-Stein,Brook Lopez,,,,,,,Brook Lopez,,Lonzo Ball,,,,jump ball,,,,,,Jump Ball Lopez vs. Cauley-Stein: Tip to Ball
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,3,00:11:46,00:00:14,00:00:14,7,LAL,shot,Lonzo Ball,,,,,,,,,Kentavious Caldwell-Pope,3,,,made,,Jump Shot,26,-192,168,5.8,72.2,Caldwell-Pope 26' 3PT Jump Shot (3 PTS) (Ball 1 AST)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,3,00:11:30,00:00:30,00:00:16,9,LAL,foul,,,,,,,,Willie Cauley-Stein,,Brook Lopez,,,s.foul,,,s.foul,,,,,,Lopez S.FOUL (P1.T1) (K.Fitzgerald)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,1,3,00:11:30,00:00:30,00:00:00,11,SAC,free throw,,,,,,,1,,2,Willie Cauley-Stein,1,,,made,,Free Throw 1 of 2,,,,,,Cauley-Stein Free Throw 1 of 2 (1 PTS)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,1,3,00:11:30,00:00:30,00:00:00,12,SAC,free throw,,,,,,,2,,2,Willie Cauley-Stein,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Cauley-Stein Free Throw 2 of 2
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,1,3,00:11:27,00:00:33,00:00:03,13,LAL,rebound,,,,,,,,,,Julius Randle,,,,,,rebound defensive,,,,,,Randle REBOUND (Off:0 Def:1)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,1,3,00:11:20,00:00:40,00:00:07,14,LAL,turnover,,,,,,,,,,Brandon Ingram,,,bad pass ,,De'Aaron Fox,bad pass ,,,,,,"Fox STEAL (1 STL), Ingram Bad Pass Turnover (P1.T1)"
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,3,00:11:13,00:00:47,00:00:07,16,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,unknown,1,-1,13,25.1,6.3,Fox 1' Running Reverse Dunk Shot (2 PTS)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,5,00:11:03,00:00:57,00:00:10,17,LAL,shot,,,,,,,,,,Brandon Ingram,2,,,made,,Driving Finger Roll Layup,2,0,24,25.0,86.6,Ingram 2' Driving Finger Roll Layup (2 PTS)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,5,00:10:52,00:01:08,00:00:11,18,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Floating Jump Shot,5,31,38,21.9,8.8,MISS Fox 5' Floating Jump Shot
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,5,00:10:50,00:01:10,00:00:02,19,LAL,rebound,,,,,,,,,,Lonzo Ball,,,,,,rebound defensive,,,,,,Ball REBOUND (Off:0 Def:1)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,5,00:10:47,00:01:13,00:00:03,20,LAL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,26,-128,221,12.2,66.9,MISS Lopez 26' 3PT Jump Shot
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,5,00:10:44,00:01:16,00:00:03,21,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,5,00:10:31,00:01:29,00:00:13,22,SAC,turnover,,,,,,,,,,Zach Randolph,,,,,,unknown,,,,,,Randolph Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,5,00:10:23,00:01:37,00:00:08,23,LAL,miss,,,,,,,,,,Lonzo Ball,0,,,missed,,Jump Shot,25,-64,246,18.6,64.4,MISS Ball 25' 3PT Jump Shot
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,5,00:10:19,00:01:41,00:00:04,24,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:2)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,6,5,00:10:09,00:01:51,00:00:10,25,SAC,shot,Zach Randolph,,,,,,,,,De'Aaron Fox,3,,,made,,Jump Shot,26,-152,210,40.2,26.0,Fox 26' 3PT Jump Shot (5 PTS) (Randolph 1 AST)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,6,7,00:09:54,00:02:06,00:00:15,27,LAL,shot,,,,,,,,,,Brook Lopez,2,,,made,,Turnaround Hook Shot,10,98,31,34.8,85.9,Lopez 10' Turnaround Hook Shot (2 PTS)
"=""0021700602""",2017-2018 Regular Season,2018-01-09,Malachi Richardson,Willie Cauley-Stein,Zach Randolph,Buddy Hield,De'Aaron Fox,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,6,7,00:09:32,00:02:28,00:00:22,28,SAC,miss,,,,Brandon Ingram,,,,,,Malachi Richardson,0,,,missed,,Jump Shot,15,144,23,10.6,7.3,"MISS Richardson 15' Jump Shot, Ingram BLOCK (1 BLK)"
