game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Bismack Biyombo,John Henson,,,,,,,John Henson,,Aaron Gordon,,,,jump ball,,,,,,Jump Ball Henson vs. Biyombo: Tip to Gordon
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:35,00:00:25,00:00:25,7,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,Jump Shot,18,36,173,21.4,22.3,MISS Gordon 18' Jump Shot
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:32,00:00:28,00:00:03,8,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound defensive,,,,,,Bledsoe REBOUND (Off:0 Def:1)
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:08,00:00:52,00:00:24,9,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,28,-131,251,11.9,63.9,MISS Bledsoe 28' 3PT Jump Shot
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:08,00:00:52,00:00:00,10,ORL,rebound,,,,,,,,,,Bismack Biyombo,,,,,,rebound defensive,,,,,,Biyombo REBOUND (Off:0 Def:1)
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:00,00:01:00,00:00:08,11,MIL,foul,,,,,,,,Bismack Biyombo,,Giannis Antetokounmpo,,,p.foul,,,p.foul,,,,,,Antetokounmpo P.FOUL (P1.T1) (M.Callahan)
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,0,00:10:48,00:01:12,00:00:12,13,ORL,shot,,,,,,,,,,Aaron Gordon,2,,,made,,unknown,1,-3,10,25.3,6.0,Gordon 1' Driving Layup (2 PTS)
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:10:35,00:01:25,00:00:13,14,MIL,shot,,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Jump Shot,20,-152,125,9.8,76.5,Antetokounmpo 20' Jump Shot (2 PTS)
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,4,2,00:10:25,00:01:35,00:00:10,15,ORL,shot,Elfrid Payton,,,,,,,,,Evan Fournier,2,,,made,,unknown,1,6,0,24.4,5.0,Fournier 1' Cutting Layup Shot (2 PTS) (Payton 1 AST)
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,4,2,00:10:13,00:01:47,00:00:12,17,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Jump Shot,18,144,111,39.4,77.9,MISS Antetokounmpo 18' Jump Shot
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,4,2,00:10:13,00:01:47,00:00:00,18,ORL,rebound,,,,,,,,,,Evan Fournier,,,,,,rebound defensive,,,,,,Fournier REBOUND (Off:0 Def:1)
"=""0021700610""",2017-2018 Regular Season,2018-01-10,Jonathon Simmons,Aaron Gordon,Bismack Biyombo,Evan Fournier,Elfrid Payton,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,6,2,00:10:04,00:01:56,00:00:09,19,ORL,shot,Bismack Biyombo,,,,,,,,,Aaron Gordon,2,,,made,,Reverse Layup,2,-13,11,26.3,6.1,Gordon 2' Reverse Layup (4 PTS) (Biyombo 1 AST)
