game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Steven Adams,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Carmelo Anthony,,,,jump ball,,,,,,Jump Ball Towns vs. Adams: Tip to Anthony
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,00:11:46,00:00:14,00:00:14,7,OKC,miss,,,,,,,,,,Steven Adams,0,,,missed,,Layup,2,16,5,23.4,5.5,MISS Adams 2' Layup
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,00:11:44,00:00:16,00:00:02,8,MIN,rebound,,,,,,,,,,Jeff Teague,,,,,,rebound defensive,,,,,,Teague REBOUND (Off:0 Def:1)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,00:11:28,00:00:32,00:00:16,9,OKC,foul,,,,,,,,Jeff Teague,,Carmelo Anthony,,,s.foul,,,s.foul,,,,,,Anthony S.FOUL (P1.T1) (S.Wright)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,00:11:28,00:00:32,00:00:00,11,MIN,free throw,,,,,,,1,,2,Jeff Teague,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Teague Free Throw 1 of 2
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,00:11:28,00:00:32,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TIMBERWOLVES Rebound
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,00:11:28,00:00:32,00:00:00,13,MIN,free throw,,,,,,,2,,2,Jeff Teague,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Teague Free Throw 2 of 2
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,0,0,00:11:26,00:00:34,00:00:02,14,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,0,00:11:16,00:00:44,00:00:10,15,OKC,shot,Terrance Ferguson,,,,,,,,,Paul George,2,,,made,,Jump Shot,18,-160,86,41.0,13.6,George 18' Jump Shot (2 PTS) (Ferguson 1 AST)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:10:57,00:01:03,00:00:19,17,MIN,shot,Jimmy Butler,,,,,,,,,Karl-Anthony Towns,2,,,made,,Jump Bank Shot,8,56,55,30.6,83.5,Towns 8' Jump Bank Shot (2 PTS) (Butler 1 AST)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:10:32,00:01:28,00:00:25,19,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Jump Shot,23,-226,50,47.6,10.0,MISS George  3PT Jump Shot
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:10:29,00:01:31,00:00:03,20,MIN,rebound,,,,,,,,,,Taj Gibson,,,,,,rebound defensive,,,,,,Gibson REBOUND (Off:0 Def:1)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:10:22,00:01:38,00:00:07,21,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Jump Shot,18,127,122,37.7,76.8,MISS Wiggins 18' Jump Shot
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:10:19,00:01:41,00:00:03,22,OKC,rebound,,,,,,,,,,Carmelo Anthony,,,,,,rebound defensive,,,,,,Anthony REBOUND (Off:0 Def:1)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:10:09,00:01:51,00:00:10,23,OKC,foul,,,,,,,,Karl-Anthony Towns,,Steven Adams,,,off.foul,,,off.foul,,,,,,Adams OFF.Foul (P1) (S.Wright)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:10:09,00:01:51,00:00:00,25,OKC,turnover,,,,,,,,,,Steven Adams,,,offensive foul turnover,,,offensive foul turnover,,,,,,Adams Offensive Foul Turnover (P1.T1)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:09:56,00:02:04,00:00:13,26,MIN,turnover,,,,,,,,,,Jimmy Butler,,,bad pass ,,Terrance Ferguson,bad pass ,,,,,,"Ferguson STEAL (1 STL), Butler Bad Pass Turnover (P1.T1)"
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:09:50,00:02:10,00:00:06,28,OKC,miss,,,,,,,,,,Carmelo Anthony,0,,,missed,,Jump Shot,25,29,251,22.1,30.1,MISS Anthony 25' 3PT Jump Shot
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,2,00:09:47,00:02:13,00:00:03,29,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021700611""",2017-2018 Regular Season,2018-01-10,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,1,2,4,00:09:35,00:02:25,00:00:12,31,MIN,shot,Jimmy Butler,,,,,,,,,Taj Gibson,2,,,made,,Jump Shot,17,93,137,34.3,75.3,Gibson 17' Jump Shot (2 PTS) (Butler 2 AST)
