game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Pau Gasol,Brook Lopez,,,,,,,Brook Lopez,,Julius Randle,,,,jump ball,,,,,,Jump Ball Lopez vs. Gasol: Tip to Randle
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:45,00:00:15,00:00:15,7,LAL,miss,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,Jump Shot,23,-228,1,2.2,88.9,MISS Caldwell-Pope  3PT Jump Shot
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:42,00:00:18,00:00:03,8,SAS,rebound,,,,,,,,,,Dejounte Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:29,00:00:31,00:00:13,9,SAS,miss,,,,,,,,,,Bryn Forbes,0,,,missed,,Pullup Jump Shot,20,22,201,22.8,25.1,MISS Forbes 20' Pullup Jump Shot
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:25,00:00:35,00:00:04,10,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound offensive,,,,,,Aldridge REBOUND (Off:1 Def:0)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:19,00:00:41,00:00:06,11,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Turnaround Jump Shot,10,-101,20,35.1,7.0,MISS Aldridge 10' Turnaround Jump Shot
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:17,00:00:43,00:00:02,12,LAL,rebound,,,,,,,,,,Lonzo Ball,,,,,,rebound defensive,,,,,,Ball REBOUND (Off:0 Def:1)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,3,00:11:03,00:00:57,00:00:14,13,LAL,shot,Brandon Ingram,,,,,,,,,Brook Lopez,3,,,made,,Jump Shot,26,-81,244,16.9,64.6,Lopez 26' 3PT Jump Shot (3 PTS) (Ingram 1 AST)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:10:42,00:01:18,00:00:21,16,SAS,shot,Dejounte Murray,,,,,,,,,Pau Gasol,2,,,made,,unknown,1,1,14,24.9,6.4,Gasol 1' Cutting Dunk Shot (2 PTS) (Murray 1 AST)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:10:31,00:01:29,00:00:11,18,LAL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,25,-44,251,20.6,63.9,MISS Lopez 25' 3PT Jump Shot
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:10:27,00:01:33,00:00:04,19,SAS,rebound,,,,,,,,,,Dejounte Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:2)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:10:15,00:01:45,00:00:12,20,SAS,miss,,,,,,,,,,Pau Gasol,0,,,missed,,Jump Shot,14,-98,94,34.8,14.4,MISS Gasol 14' Jump Shot
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:10:12,00:01:48,00:00:03,21,LAL,rebound,,,,,,,,,,Brandon Ingram,,,,,,rebound defensive,,,,,,Ingram REBOUND (Off:0 Def:1)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:09:54,00:02:06,00:00:18,22,LAL,miss,,,,,,,,,,Julius Randle,0,,,missed,,Jump Bank Shot,2,10,12,26.0,87.8,MISS Randle 2' Jump Bank Shot
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:09:52,00:02:08,00:00:02,23,SAS,rebound,,,,,,,,,,Dejounte Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:3)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:09:47,00:02:13,00:00:05,24,SAS,miss,,,,,,,,,,Dejounte Murray,0,,,missed,,Floating Jump Shot,7,73,17,17.7,6.7,MISS Murray 7' Floating Jump Shot
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:09:44,00:02:16,00:00:03,25,LAL,rebound,,,,,,,,,,Kentavious Caldwell-Pope,,,,,,rebound defensive,,,,,,Caldwell-Pope REBOUND (Off:0 Def:1)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:09:33,00:02:27,00:00:11,26,LAL,miss,,,,,,,,,,Julius Randle,0,,,missed,,Jump Shot,16,-137,75,11.3,81.5,MISS Randle 16' Jump Shot
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:09:28,00:02:32,00:00:05,27,SAS,rebound,,,,,,,,,,Pau Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,3,00:09:23,00:02:37,00:00:05,28,SAS,turnover,,,,,,,,,,Pau Gasol,,,,,,unknown,,,,,,Gasol Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,5,00:09:07,00:02:53,00:00:16,29,LAL,shot,,,,,,,,,,Brandon Ingram,2,,,made,,Pullup Jump Shot,19,97,162,34.7,72.8,Ingram 19' Pullup Jump Shot (2 PTS)
"=""0021700617""",2017-2018 Regular Season,2018-01-11,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Brandon Ingram,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,2,5,00:09:06,00:02:54,00:00:01,30,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Spurs Timeout: Regular (Reg.1 Short 0)
