game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Tyler Zeller,Miles Plumlee,,,,,,,Miles Plumlee,,Ersan Ilyasova,,,,jump ball,,,,,,Jump Ball Plumlee vs. Zeller: Tip to Ilyasova
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:11:42,00:00:18,00:00:18,322,ATL,turnover,,,,,,,,,,Kent Bazemore,,,lost ball ,,Tyler Zeller,lost ball ,,,,,,"Zeller STEAL (1 STL), Bazemore Lost Ball Turnover (P1.T1)"
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,2,0,00:11:36,00:00:24,00:00:06,10,BKN,shot,Spencer Dinwiddie,,,,,,,,,Rondae Hollis-Jefferson,2,,,made,,Pullup Jump Shot,14,136,42,11.4,9.2,Hollis-Jefferson 14' Pullup Jump Shot (2 PTS) (Dinwiddie 1 AST)
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,2,0,00:11:28,00:00:32,00:00:08,12,ATL,miss,,,,,,,,,,Ersan Ilyasova,0,,,missed,,Jump Shot,25,9,252,25.9,63.8,MISS Ilyasova 25' 3PT Jump Shot
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,2,0,00:11:28,00:00:32,00:00:00,13,BKN,rebound,,,,,,,,,,Spencer Dinwiddie,,,,,,rebound defensive,,,,,,Dinwiddie REBOUND (Off:0 Def:1)
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,2,0,00:11:17,00:00:43,00:00:11,14,BKN,turnover,,,,,,,,,,Rondae Hollis-Jefferson,,,lost ball ,,Dennis Schroder,lost ball ,,,,,,"Hollis-Jefferson Lost Ball Turnover (P1.T1), Schroder STEAL (1 STL)"
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,2,2,00:11:07,00:00:53,00:00:10,16,ATL,shot,Dennis Schroder,,,,,,,,,Miles Plumlee,2,,,made,,Hook Shot,11,-7,105,24.3,78.5,Plumlee 11' Hook Shot (2 PTS) (Schroder 1 AST)
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,2,00:10:49,00:01:11,00:00:18,18,BKN,shot,,,,,,,,,,Rondae Hollis-Jefferson,2,,,made,,Pullup Jump Shot,19,11,192,23.9,24.2,Hollis-Jefferson 19' Pullup Jump Shot (4 PTS)
"=""0021700621""",2017-2018 Regular Season,2018-01-12,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,2,00:10:36,00:01:24,00:00:13,20,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Jump Shot,25,-226,99,2.4,79.1,MISS Prince 25' 3PT Jump Shot
