game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Zaza Pachulia,John Henson,,,,,,,John Henson,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Henson vs. Pachulia: Tip to Antetokounmpo
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,2,00:11:50,00:00:10,00:00:10,7,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Eric Bledsoe,2,,,made,,Alley Oop Dunk,2,2,15,25.2,87.5,Bledsoe 2' Alley Oop Dunk (2 PTS) (Antetokounmpo 1 AST)
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:32,00:00:28,00:00:18,9,GSW,shot,Zaza Pachulia,,,,,,,,,Patrick McCaw,2,,,made,,unknown,2,0,17,25.0,6.7,McCaw 2' Cutting Layup Shot (2 PTS) (Pachulia 1 AST)
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:32,00:00:28,00:00:00,12,MIL,violation,,,,,,,,,,Giannis Antetokounmpo,,,,,,violation:defensive goaltending,,,,,,Antetokounmpo Violation:Defensive Goaltending (L.Holtkamp)
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:17,00:00:43,00:00:15,13,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Jump Shot,28,-67,267,18.3,62.3,MISS Middleton 28' 3PT Jump Shot
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:13,00:00:47,00:00:04,14,GSW,rebound,,,,,,,,,,Klay Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:07,00:00:53,00:00:06,15,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Jump Shot,24,-233,43,48.3,9.3,MISS Durant 24' 3PT Jump Shot
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:04,00:00:56,00:00:03,16,MIL,rebound,,,,,,,,,,John Henson,,,,,,rebound defensive,,,,,,Henson REBOUND (Off:0 Def:1)
"=""0021700622""",2017-2018 Regular Season,2018-01-12,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Patrick McCaw,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:04,00:00:56,00:00:00,17,GSW,foul,,,,,,,,Khris Middleton,,Klay Thompson,,,s.foul,,,s.foul,,,,,,Thompson S.FOUL (P1.T1) (K.Cutler)
