game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Andre Drummond,Robin Lopez,,,,,,,Robin Lopez,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Lopez vs. Drummond: Tip to Harris
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,0,00:11:39,00:00:21,00:00:21,7,DET,shot,Reggie Bullock,,,,,,,,,Ish Smith,2,,,made,,unknown,2,6,16,24.4,6.6,Smith 2' Driving Layup (2 PTS) (Bullock 1 AST)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,0,00:11:30,00:00:30,00:00:09,9,DET,violation,,,,,,,,,,Tobias Harris,,,,,,violation:kicked ball,,,,,,Harris Violation:Kicked Ball (R.Acosta)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,3,00:11:23,00:00:37,00:00:07,10,CHI,shot,Kris Dunn,,,,,,,,,Zach LaVine,3,,,made,,Pullup Jump Shot,27,154,219,40.4,67.1,LaVine 27' 3PT Pullup Jump Shot (3 PTS) (Dunn 1 AST)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,3,00:11:03,00:00:57,00:00:20,12,DET,miss,,,,,,,,,,Reggie Bullock,0,,,missed,,unknown,3,22,13,22.8,6.3,MISS Bullock 3' Cutting Layup Shot
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,2,3,00:10:59,00:01:01,00:00:04,13,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound offensive,,,,,,Drummond REBOUND (Off:1 Def:0)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,4,3,00:10:59,00:01:01,00:00:00,14,DET,shot,,,,,,,,,,Andre Drummond,2,,,made,,Putback Layup,1,0,-6,25.0,4.4,Drummond 1' Putback Layup (2 PTS)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,4,5,00:10:41,00:01:19,00:00:18,15,CHI,shot,Zach LaVine,,,,,,,,,Robin Lopez,2,,,made,,Driving Hook Shot,5,40,34,29.0,85.6,Lopez 5' Driving Hook Shot (2 PTS) (LaVine 1 AST)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,6,5,00:10:19,00:01:41,00:00:22,17,DET,shot,Avery Bradley,,,,,,,,,Ish Smith,2,,,made,,Jump Shot,20,141,136,10.9,18.6,Smith 20' Jump Shot (4 PTS) (Bradley 1 AST)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,6,5,00:10:01,00:01:59,00:00:18,19,CHI,turnover,,,,,,,,,,Justin Holiday,,,bad pass ,,Avery Bradley,bad pass ,,,,,,"Bradley STEAL (1 STL), Holiday Bad Pass Turnover (P1.T1)"
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,6,5,00:09:57,00:02:03,00:00:04,21,DET,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,25,158,194,9.2,24.4,MISS Harris 25' 3PT Jump Shot
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,6,5,00:09:53,00:02:07,00:00:04,22,CHI,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,6,5,00:09:49,00:02:11,00:00:04,23,CHI,turnover,,,,,,,,,,Justin Holiday,,,lost ball ,,Tobias Harris,lost ball ,,,,,,"Harris STEAL (1 STL), Holiday Lost Ball Turnover (P2.T2)"
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,6,5,00:09:35,00:02:25,00:00:14,25,DET,turnover,,,,,,,,,,Avery Bradley,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Bradley Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,6,7,00:09:17,00:02:43,00:00:18,26,CHI,shot,,,,,,,,,,Kris Dunn,2,,,made,,Pullup Jump Shot,13,-111,61,13.9,82.9,Dunn 13' Pullup Jump Shot (2 PTS)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,8,7,00:08:54,00:03:06,00:00:23,27,DET,shot,Andre Drummond,,,,,,,,,Tobias Harris,2,,,made,,unknown,2,5,16,24.5,6.6,Harris 2' Cutting Finger Roll Layup Shot (2 PTS) (Drummond 1 AST)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,8,10,00:08:42,00:03:18,00:00:12,29,CHI,shot,Justin Holiday,,,,,,,,,Lauri Markkanen,3,,,made,,Jump Shot,25,-62,246,18.8,64.4,Markkanen 25' 3PT Jump Shot (3 PTS) (Holiday 1 AST)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,11,10,00:08:21,00:03:39,00:00:21,31,DET,shot,Tobias Harris,,,,,,,,,Avery Bradley,3,,,made,,Jump Shot,23,-234,-8,48.4,4.2,Bradley  3PT Jump Shot (3 PTS) (Harris 1 AST)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,11,12,00:08:12,00:03:48,00:00:09,33,CHI,shot,,,,,,,,,,Zach LaVine,2,,,made,,Fadeaway Jumper,15,49,138,29.9,75.2,LaVine 15' Fadeaway Jumper (5 PTS)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,11,12,00:07:57,00:04:03,00:00:15,34,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Pistons Timeout: Regular (Reg.1 Short 0)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,11,12,00:07:57,00:04:03,00:00:00,35,CHI,sub,,,,,Denzel Valentine,Zach LaVine,,,,Zach LaVine,,,,,,sub,,,,,,SUB: Valentine FOR LaVine
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,11,12,00:07:54,00:04:06,00:00:03,37,DET,turnover,,,,,,,,,,Reggie Bullock,,,bad pass ,,Kris Dunn,bad pass ,,,,,,"Bullock Bad Pass Turnover (P1.T2), Dunn STEAL (1 STL)"
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,11,14,00:07:50,00:04:10,00:00:04,39,CHI,shot,,,,,,,,,,Kris Dunn,2,,,made,,Running Dunk,1,6,0,25.6,89.0,Dunn 1' Running Dunk (4 PTS)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,11,14,00:07:40,00:04:20,00:00:10,40,DET,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,25,-117,225,36.7,27.5,MISS Harris 25' 3PT Jump Shot
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,11,14,00:07:37,00:04:23,00:00:03,41,CHI,rebound,,,,,,,,,,Denzel Valentine,,,,,,rebound defensive,,,,,,Valentine REBOUND (Off:0 Def:1)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,11,14,00:07:25,00:04:35,00:00:12,42,CHI,miss,,,,Andre Drummond,,,,,,Lauri Markkanen,0,,,missed,,unknown,4,-43,4,20.7,88.6,"Drummond BLOCK (1 BLK), MISS Markkanen 4' Driving Layup"
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,11,14,00:07:21,00:04:39,00:00:04,44,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound offensive,,,,,,Markkanen REBOUND (Off:1 Def:0)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,11,14,00:07:21,00:04:39,00:00:00,45,CHI,miss,,,,Andre Drummond,,,,,,Lauri Markkanen,0,,,missed,,Putback Layup,2,-16,17,23.4,87.3,"Drummond BLOCK (2 BLK), MISS Markkanen 2' Putback Layup"
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,11,14,00:07:18,00:04:42,00:00:03,47,DET,rebound,,,,,,,,,,Reggie Bullock,,,,,,rebound defensive,,,,,,Bullock REBOUND (Off:0 Def:1)
"=""0021700632""",2017-2018 Regular Season,2018-01-13,Tobias Harris,Reggie Bullock,Andre Drummond,Avery Bradley,Ish Smith,Justin Holiday,Lauri Markkanen,Robin Lopez,Kris Dunn,Denzel Valentine,1,14,14,00:07:16,00:04:44,00:00:02,48,DET,shot,Ish Smith,,,,,,,,,Avery Bradley,3,,,made,,Jump Shot,24,-235,37,48.5,8.7,Bradley 24' 3PT Jump Shot (6 PTS) (Smith 1 AST)
