game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Skal Labissiere,Steven Adams,,,,,,,Steven Adams,,Carmelo Anthony,,,,jump ball,,,,,,Jump Ball Adams vs. Labissiere: Tip to Anthony
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:44,00:00:16,00:00:16,7,SAC,foul,,,,,,,,Russell Westbrook,,De'Aaron Fox,,,p.foul,,,p.foul,,,,,,Fox P.FOUL (P1.T1) (G.Petraitis)
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:33,00:00:27,00:00:11,9,OKC,turnover,,,,,,,,,,Russell Westbrook,,,bad pass ,,Willie Cauley-Stein,bad pass ,,,,,,"Cauley-Stein STEAL (1 STL), Westbrook Bad Pass Turnover (P1.T1)"
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:25,00:00:35,00:00:08,11,SAC,miss,,,,,,,,,,Skal Labissiere,0,,,missed,,Jump Shot,20,-105,170,35.5,22.0,MISS Labissiere 20' Jump Shot
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:22,00:00:38,00:00:03,12,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:18,00:00:42,00:00:04,13,OKC,turnover,,,,,,,,,,Paul George,,,bad pass ,,Garrett Temple,bad pass ,,,,,,"Temple STEAL (1 STL), George Bad Pass Turnover (P1.T2)"
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,2,0,00:11:15,00:00:45,00:00:03,15,SAC,shot,De'Aaron Fox,,,,,,,,,Garrett Temple,2,,,made,,Running Dunk,2,5,21,24.5,7.1,Temple 2' Running Dunk (2 PTS) (Fox 1 AST)
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,2,2,00:10:59,00:01:01,00:00:16,17,OKC,shot,,,,,,,,,,Paul George,2,,,made,,unknown,2,11,16,26.1,87.4,George 2' Driving Layup (2 PTS)
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,2,2,00:10:59,00:01:01,00:00:00,18,SAC,foul,,,,,,,,Paul George,,Garrett Temple,,,s.foul,,,s.foul,,,,,,Temple S.FOUL (P1.T2) (M.Boland)
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,2,3,00:10:59,00:01:01,00:00:00,20,OKC,free throw,,,,,,,1,,1,Paul George,1,,,made,,Free Throw 1 of 1,,,,,,George Free Throw 1 of 1 (3 PTS)
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,4,3,00:10:46,00:01:14,00:00:13,21,SAC,shot,Garrett Temple,,,,,,,,,Willie Cauley-Stein,2,,,made,,unknown,1,-3,7,25.3,5.7,Cauley-Stein 1' Cutting Dunk Shot (2 PTS) (Temple 1 AST)
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,4,5,00:10:21,00:01:39,00:00:25,23,OKC,shot,Russell Westbrook,,,,,,,,,Steven Adams,2,,,made,,Layup,1,-14,0,23.6,89.0,Adams 1' Layup (2 PTS) (Westbrook 1 AST)
"=""0021700643""",2017-2018 Regular Season,2018-01-15,Garrett Temple,Skal Labissiere,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,1,4,5,00:10:12,00:01:48,00:00:09,25,OKC,foul,,,,,,,,De'Aaron Fox,,Russell Westbrook,,,p.foul,,,p.foul,,,,,,Westbrook P.FOUL (P1.T1) (M.Boland)
