game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Jordan Bell,Kevin Love,,,,,,,Kevin Love,,Jae Crowder,,,,jump ball,,,,,,Jump Ball Love vs. Bell: Tip to Crowder
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,0,2,00:11:40,00:00:20,00:00:20,7,CLE,shot,,,,,,,,,,Isaiah Thomas,2,,,made,,Jump Shot,23,68,223,31.8,66.7,Thomas 23' Jump Shot (2 PTS)
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,0,2,00:11:21,00:00:39,00:00:19,8,GSW,miss,,,,,,,,,,Draymond Green,0,,,missed,,Jump Shot,26,-120,229,37.0,27.9,MISS Green 26' 3PT Jump Shot
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,0,2,00:11:19,00:00:41,00:00:02,9,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,0,2,00:11:15,00:00:45,00:00:04,10,GSW,foul,,,,,,,,LeBron James,,Draymond Green,,,p.foul,,,p.foul,,,,,,Green P.FOUL (P1.T1) (S.Foster)
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,0,2,00:11:07,00:00:53,00:00:08,12,CLE,turnover,,,,,,,,,,JR Smith,,,bad pass ,,Stephen Curry,bad pass ,,,,,,"Curry STEAL (1 STL), Smith Bad Pass Turnover (P1.T1)"
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,3,2,00:11:01,00:00:59,00:00:06,14,GSW,shot,Kevin Durant,,,,,,,,,Klay Thompson,3,,,made,,Jump Shot,25,-136,211,38.6,26.1,Thompson 25' 3PT Jump Shot (3 PTS) (Durant 1 AST)
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,3,2,00:10:40,00:01:20,00:00:21,16,GSW,foul,,,,,,,,Isaiah Thomas,,Klay Thompson,,,p.foul,,,p.foul,,,,,,Thompson P.FOUL (P1.T2) (E.Lewis)
"=""0021700646""",2017-2018 Regular Season,2018-01-15,Kevin Durant,Draymond Green,Jordan Bell,Klay Thompson,Stephen Curry,LeBron James,Jae Crowder,Kevin Love,JR Smith,Isaiah Thomas,1,3,4,00:10:30,00:01:30,00:00:10,18,CLE,shot,,,,,,,,,,JR Smith,2,,,made,,Step Back Jump Shot,22,-25,222,22.5,66.8,Smith 22' Step Back Jump Shot (2 PTS)
