game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Al Horford,,,,,,,Al Horford,,DeMarcus Cousins,,,,jump ball,,,,,,Jump Ball Horford vs. Davis: Tip to Cousins
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:48,00:00:12,00:00:12,7,BOS,foul,,,,,,,,Jrue Holiday,,Jaylen Brown,,,s.foul,,,s.foul,,,,,,Brown S.FOUL (P1.T1) (S.Wright)
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,1,0,00:11:48,00:00:12,00:00:00,9,NOP,free throw,,,,,,,1,,2,Jrue Holiday,1,,,made,,Free Throw 1 of 2,,,,,,Holiday Free Throw 1 of 2 (1 PTS)
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,1,0,00:11:48,00:00:12,00:00:00,10,NOP,free throw,,,,,,,2,,2,Jrue Holiday,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Holiday Free Throw 2 of 2
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,1,0,00:11:48,00:00:12,00:00:00,11,BOS,rebound,,,,,,,,,,Aron Baynes,,,,,,rebound defensive,,,,,,Baynes REBOUND (Off:0 Def:1)
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,1,0,00:11:30,00:00:30,00:00:18,12,BOS,miss,,,,Anthony Davis,,,,,,Aron Baynes,0,,,missed,,unknown,2,-21,12,22.9,87.8,"Davis BLOCK (1 BLK), MISS Baynes 2' Cutting Layup Shot"
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,1,0,00:11:28,00:00:32,00:00:02,14,BOS,rebound,,,,,,,,,,Aron Baynes,,,,,,rebound offensive,,,,,,Baynes REBOUND (Off:1 Def:1)
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,1,2,00:11:26,00:00:34,00:00:02,15,BOS,shot,,,,,,,,,,Aron Baynes,2,,,made,,Driving Hook Shot,1,-2,13,24.8,87.7,Baynes 1' Driving Hook Shot (2 PTS)
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,1,2,00:11:11,00:00:49,00:00:15,16,NOP,turnover,,,,,,,,,,DeMarcus Cousins,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Cousins Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,1,2,00:10:54,00:01:06,00:00:17,17,BOS,turnover,,,,,,,,,,Jaylen Brown,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Brown Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021700650""",2017-2018 Regular Season,2018-01-16,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,4,2,00:10:41,00:01:19,00:00:13,18,NOP,shot,Jrue Holiday,,,,,,,,,DeMarcus Cousins,3,,,made,,Jump Shot,27,-149,220,39.9,27.0,Cousins 27' 3PT Jump Shot (3 PTS) (Holiday 1 AST)
