game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Anthony Davis,Miles Plumlee,,,,,,,Miles Plumlee,,Ersan Ilyasova,,,,jump ball,,,,,,Jump Ball Plumlee vs. Davis: Tip to Ilyasova
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,3,00:11:45,00:00:15,00:00:15,7,ATL,shot,Kent Bazemore,,,,,,,,,Ersan Ilyasova,3,,,made,,Jump Shot,25,-75,240,17.5,65.0,Ilyasova 25' 3PT Jump Shot (3 PTS) (Bazemore 1 AST)
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,3,3,00:11:29,00:00:31,00:00:16,9,NOP,shot,Anthony Davis,,,,,,,,,Jrue Holiday,3,,,made,,Pullup Jump Shot,25,44,248,20.6,29.8,Holiday 25' 3PT Pullup Jump Shot (3 PTS) (Davis 1 AST)
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,3,3,00:11:05,00:00:55,00:00:24,12,ATL,miss,,,,,,,,,,Miles Plumlee,0,,,missed,,unknown,2,2,15,25.2,87.5,MISS Plumlee 2' Cutting Layup Shot
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,3,3,00:10:58,00:01:02,00:00:07,13,ATL,rebound,,,,,,,,,,Ersan Ilyasova,,,,,,rebound offensive,,,,,,Ilyasova REBOUND (Off:1 Def:0)
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,3,5,00:10:58,00:01:02,00:00:00,14,ATL,shot,,,,,,,,,,Ersan Ilyasova,2,,,made,,unknown,1,0,-6,25.0,89.6,Ilyasova 1' Tip Layup Shot (5 PTS)
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,3,5,00:10:54,00:01:06,00:00:04,15,NOP,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,unknown,3,5,26,24.5,7.6,MISS Cousins 3' Driving Layup
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,3,5,00:10:51,00:01:09,00:00:03,16,ATL,rebound,,,,,,,,,,Ersan Ilyasova,,,,,,rebound defensive,,,,,,Ilyasova REBOUND (Off:1 Def:1)
"=""0021700654""",2017-2018 Regular Season,2018-01-17,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,3,7,00:10:30,00:01:30,00:00:21,17,ATL,shot,Dennis Schroder,,,,,,,,,Kent Bazemore,2,,,made,,Pullup Jump Shot,23,-55,219,19.5,67.1,Bazemore 23' Pullup Jump Shot (2 PTS) (Schroder 1 AST)
