game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Jordan Bell,Zaza Pachulia,Klay Thompson,Stephen Curry,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Jordan Bell,Zaza Pachulia,Klay Thompson,Stephen Curry,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Zaza Pachulia,Robin Lopez,,,,,,,Robin Lopez,,Kris Dunn,,,,jump ball,,,,,,Jump Ball Lopez vs. Pachulia: Tip to Dunn
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Jordan Bell,Zaza Pachulia,Klay Thompson,Stephen Curry,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,2,00:11:36,00:00:24,00:00:24,7,CHI,shot,,,,,,,,,,Robin Lopez,2,,,made,,unknown,1,-2,-7,24.8,89.7,Lopez 1' Driving Dunk (2 PTS)
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Jordan Bell,Zaza Pachulia,Klay Thompson,Stephen Curry,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,2,00:11:36,00:00:24,00:00:00,8,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Warriors Timeout: Regular (Reg.1 Short 0)
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Zaza Pachulia,Klay Thompson,Stephen Curry,Kevon Looney,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,2,00:11:36,00:00:24,00:00:00,9,GSW,sub,,,,,Kevon Looney,Jordan Bell,,,,Jordan Bell,,,,,,sub,,,,,,SUB: Looney FOR Bell
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Zaza Pachulia,Klay Thompson,Stephen Curry,Kevon Looney,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,2,00:11:21,00:00:39,00:00:15,11,GSW,shot,Stephen Curry,,,,,,,,,Klay Thompson,3,,,made,,Jump Shot,26,-130,223,38.0,27.3,Thompson 26' 3PT Jump Shot (3 PTS) (Curry 1 AST)
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Zaza Pachulia,Klay Thompson,Stephen Curry,Kevon Looney,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,4,00:11:03,00:00:57,00:00:18,13,CHI,shot,Zach LaVine,,,,,,,,,Robin Lopez,2,,,made,,unknown,1,7,-7,25.7,89.7,Lopez 1' Cutting Dunk Shot (4 PTS) (LaVine 1 AST)
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Zaza Pachulia,Klay Thompson,Stephen Curry,Kevon Looney,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,4,00:10:55,00:01:05,00:00:08,15,GSW,shot,,,,,,,,,,Kevin Durant,2,,,made,,Pullup Jump Shot,15,-14,154,26.4,20.4,Durant 15' Pullup Jump Shot (2 PTS)
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Zaza Pachulia,Klay Thompson,Stephen Curry,Kevon Looney,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,4,00:10:35,00:01:25,00:00:20,16,CHI,miss,,,,,,,,,,Zach LaVine,0,,,missed,,Jump Shot,24,18,243,26.8,64.7,MISS LaVine 24' 3PT Jump Shot
"=""0021700657""",2017-2018 Regular Season,2018-01-17,Kevin Durant,Zaza Pachulia,Klay Thompson,Stephen Curry,Kevon Looney,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,4,00:10:32,00:01:28,00:00:03,17,GSW,rebound,,,,,,,,,,Zaza Pachulia,,,,,,rebound defensive,,,,,,Pachulia REBOUND (Off:0 Def:1)
