game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Kristaps Porzingis,Deyonta Davis,,,,,,,Deyonta Davis,,Enes Kanter,,,,jump ball,,,,,,Jump Ball Davis vs. Porzingis: Tip to Kanter
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,0,0,00:11:43,00:00:17,00:00:17,7,NYK,miss,,,,,,,,,,Courtney Lee,0,,,missed,,Jump Shot,26,120,228,13.0,27.8,MISS Lee 26' 3PT Jump Shot
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,0,0,00:11:41,00:00:19,00:00:02,8,NYK,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound offensive,,,,,,Kanter REBOUND (Off:1 Def:0)
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,2,0,00:11:39,00:00:21,00:00:02,9,NYK,shot,,,,,,,,,,Enes Kanter,2,,,made,,Putback Layup,0,-3,-4,25.3,4.6,Kanter 1' Putback Layup (2 PTS)
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,2,2,00:11:20,00:00:40,00:00:19,10,MEM,shot,Tyreke Evans,,,,,,,,,Dillon Brooks,2,,,made,,Driving Reverse Layup,2,14,11,26.4,87.9,Brooks 2' Driving Reverse Layup (2 PTS) (Evans 1 AST)
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,2,2,00:11:09,00:00:51,00:00:11,11,NYK,miss,,,,,,,,,,Jarrett Jack,0,,,missed,,Jump Shot,26,-81,252,33.1,30.2,MISS Jack 26' 3PT Jump Shot
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,2,2,00:11:06,00:00:54,00:00:03,12,MEM,rebound,,,,,,,,,,JaMychal Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,2,2,00:10:58,00:01:02,00:00:08,13,MEM,miss,,,,,,,,,,Tyreke Evans,0,,,missed,,Jump Shot,25,73,243,32.3,64.7,MISS Evans 25' 3PT Jump Shot
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,2,2,00:10:56,00:01:04,00:00:02,14,NYK,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound defensive,,,,,,Kanter REBOUND (Off:1 Def:1)
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,4,2,00:10:45,00:01:15,00:00:11,15,NYK,shot,Jarrett Jack,,,,,,,,,Enes Kanter,2,,,made,,Jump Shot,16,48,154,20.2,20.4,Kanter 16' Jump Shot (4 PTS) (Jack 1 AST)
"=""0021700658""",2017-2018 Regular Season,2018-01-17,Lance Thomas,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,Dillon Brooks,JaMychal Green,Deyonta Davis,Andrew Harrison,Tyreke Evans,1,4,4,00:10:30,00:01:30,00:00:15,18,MEM,shot,Tyreke Evans,,,,,,,,,Dillon Brooks,2,,,made,,Pullup Jump Shot,22,45,214,29.5,67.6,Brooks 22' Pullup Jump Shot (4 PTS) (Evans 2 AST)
