game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,0,0,0:12:00,0:00:00,0:00:00,4,MEM,jump ball,,Willie Cauley-Stein,Marc Gasol,,,,,,,Marc Gasol,,JaMychal Green,,,,jump ball,,,,,,Jump Ball Gasol vs. Cauley-Stein: Tip to Green
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,0,0,0:11:47,0:00:13,0:00:13,7,MEM,turnover,,,,,,,,,,Dillon Brooks,,,,,,unknown,,,,,,Brooks Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,0,0,0:11:25,0:00:35,0:00:22,8,SAC,turnover,,,,,,,,,,Zach Randolph,,,lost ball ,,Andrew Harrison,lost ball ,,,,,,"Randolph Lost Ball Turnover (P1.T1), Harrison STEAL (1 STL)"
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,0,2,0:11:15,0:00:45,0:00:10,10,MEM,shot,Andrew Harrison,,,,,,,,,Marc Gasol,2,,,made,,Jump Shot,19,27,188,27.7,70.2,Gasol 19' Jump Shot (2 PTS) (Harrison 1 AST)
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,0,2,0:11:10,0:00:50,0:00:05,12,MEM,foul,,,,,,,,De'Aaron Fox,,Andrew Harrison,,,p.foul,,,p.foul,,,,,,Harrison P.FOUL (P1.T1) (J.Goble)
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,2,2,0:11:03,0:00:57,0:00:07,14,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,unknown,1,-7,11,25.7,6.1,Fox 1' Driving Layup (2 PTS)
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,2,2,0:10:50,0:01:10,0:00:13,15,MEM,miss,,,,,,,,,,Andrew Harrison,0,,,missed,,Jump Shot,26,83,242,33.3,64.8,MISS Harrison 26' 3PT Jump Shot
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,2,2,0:10:48,0:01:12,0:00:02,16,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
0021700670,2017-2018 Regular Season,1/19/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,1,2,2,0:10:34,0:01:26,0:00:14,17,SAC,miss,,,,,,,,,,Justin Jackson,0,,,missed,,Jump Shot,26,92,239,15.8,28.9,MISS Jackson 26' 3PT Jump Shot
