game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Kristaps Porzingis,Rudy Gobert,,,,,,,Rudy Gobert,,Enes Kanter,,,,jump ball,,,,,,Jump Ball Gobert vs. Porzingis: Tip to Kanter
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:45,00:00:15,00:00:15,7,NYK,shot,Tim Hardaway Jr.,,,,,,,,,Kristaps Porzingis,2,,,made,,Jump Shot,22,-5,219,25.5,26.9,Porzingis 22' Jump Shot (2 PTS) (Hardaway Jr. 1 AST)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:32,00:00:28,00:00:13,9,UTA,turnover,,,,,,,,,,Rudy Gobert,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Gobert Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:20,00:00:40,00:00:12,10,NYK,miss,,,,,,,,,,Kristaps Porzingis,0,,,missed,,Jump Shot,27,-21,267,27.1,31.7,MISS Porzingis 27' 3PT Jump Shot
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:17,00:00:43,00:00:03,11,UTA,rebound,,,,,,,,,,Ricky Rubio,,,,,,rebound defensive,,,,,,Rubio REBOUND (Off:0 Def:1)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:10,00:00:50,00:00:07,12,NYK,foul,,,,,,,,Rudy Gobert,,Kristaps Porzingis,,,s.foul,,,s.foul,,,,,,Porzingis S.FOUL (P1.T1) (E.Malloy)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:10,00:00:50,00:00:00,14,UTA,free throw,,,,,,,1,,2,Rudy Gobert,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Gobert Free Throw 1 of 2
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:10,00:00:50,00:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,JAZZ Rebound
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,1,00:11:10,00:00:50,00:00:00,16,UTA,free throw,,,,,,,2,,2,Rudy Gobert,1,,,made,,Free Throw 2 of 2,,,,,,Gobert Free Throw 2 of 2 (1 PTS)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,1,00:10:58,00:01:02,00:00:12,17,NYK,shot,,,,,,,,,,Kristaps Porzingis,2,,,made,,Pullup Jump Shot,12,117,16,13.3,6.6,Porzingis 12' Pullup Jump Shot (4 PTS)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,1,00:10:42,00:01:18,00:00:16,18,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,24,236,8,48.6,88.2,MISS Favors 24' 3PT Jump Shot
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,1,00:10:40,00:01:20,00:00:02,19,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound offensive,,,,,,Gobert REBOUND (Off:1 Def:0)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,1,00:10:39,00:01:21,00:00:01,20,UTA,miss,,,,Kristaps Porzingis,,,,,,Rudy Gobert,0,,,missed,,Layup,2,-18,17,23.2,87.3,"Porzingis BLOCK (1 BLK), MISS Gobert 2' Layup"
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,1,00:10:39,00:01:21,00:00:00,22,NYK,rebound,,,,,,,,,,Courtney Lee,,,,,,rebound defensive,,,,,,Lee REBOUND (Off:0 Def:1)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,1,00:10:25,00:01:35,00:00:14,23,NYK,miss,,,,Rudy Gobert,,,,,,Enes Kanter,0,,,missed,,Hook Shot,6,41,40,20.9,9.0,"MISS Kanter 6' Hook Shot, Gobert BLOCK (1 BLK)"
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,1,00:10:20,00:01:40,00:00:05,25,UTA,rebound,,,,,,,,,,Rodney Hood,,,,,,rebound defensive,,,,,,Hood REBOUND (Off:0 Def:1)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,3,00:10:18,00:01:42,00:00:02,26,UTA,shot,,,,,,,,,,Ricky Rubio,2,,,made,,Running Layup,2,19,15,26.9,87.5,Rubio 2' Running Layup (2 PTS)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,3,00:09:57,00:02:03,00:00:21,27,NYK,shot,,,,,,,,,,Tim Hardaway Jr.,2,,,made,,Pullup Jump Shot,20,-100,173,35.0,22.3,Hardaway Jr. 20' Pullup Jump Shot (2 PTS)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,3,00:09:42,00:02:18,00:00:15,58,UTA,miss,,,,Enes Kanter,,,,,,Ricky Rubio,0,,,missed,,unknown,8,-50,64,20.0,82.6,"Kanter BLOCK (1 BLK), MISS Rubio 8' Driving Floating Jump Shot"
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,3,00:09:42,00:02:18,00:00:00,59,NYK,rebound,,,,,,,,,,Tim Hardaway Jr.,,,,,,rebound defensive,,,,,,Hardaway Jr. REBOUND (Off:0 Def:1)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,3,00:09:38,00:02:22,00:00:04,30,NYK,turnover,,,,,,,,,,Tim Hardaway Jr.,,,bad pass ,,Ricky Rubio,bad pass ,,,,,,"Hardaway Jr. Bad Pass Turnover (P1.T1), Rubio STEAL (1 STL)"
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,3,00:09:32,00:02:28,00:00:06,32,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Jump Shot,26,139,214,38.9,67.6,MISS Mitchell 26' 3PT Jump Shot
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,3,00:09:30,00:02:30,00:00:02,33,NYK,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound defensive,,,,,,Kanter REBOUND (Off:0 Def:1)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,8,3,00:09:16,00:02:44,00:00:14,34,NYK,shot,,,,,,,,,,Enes Kanter,2,,,made,,Hook Shot,6,-4,57,25.4,10.7,Kanter 6' Hook Shot (2 PTS)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,8,5,00:08:51,00:03:09,00:00:25,35,UTA,shot,,,,,,,,,,Ricky Rubio,2,,,made,,Pullup Jump Shot,17,-54,157,19.6,73.3,Rubio 17' Pullup Jump Shot (4 PTS)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,11,5,00:08:37,00:03:23,00:00:14,36,NYK,shot,Jarrett Jack,,,,,,,,,Tim Hardaway Jr.,3,,,made,,Jump Shot,24,-63,234,31.3,28.4,Hardaway Jr. 24' 3PT Jump Shot (5 PTS) (Jack 1 AST)
"=""0021700672""",2017-2018 Regular Season,2018-01-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Jarrett Jack,Courtney Lee,Rodney Hood,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,11,7,00:08:22,00:03:38,00:00:15,38,UTA,shot,Ricky Rubio,,,,,,,,,Rodney Hood,2,,,made,,Jump Shot,23,143,183,39.3,70.7,Hood 23' Jump Shot (2 PTS) (Rubio 1 AST)
