game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Greg Monroe,John Henson,,,,,,,John Henson,,Khris Middleton,,,,jump ball,,,,,,Jump Ball Henson vs. Monroe: Tip to Middleton
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:45,00:00:15,00:00:15,7,MIL,turnover,,,,,,,,,,Eric Bledsoe,,,bad pass ,,TJ Warren,bad pass ,,,,,,"Warren STEAL (1 STL), Bledsoe Bad Pass Turnover (P1.T1)"
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,0,00:11:22,00:00:38,00:00:23,9,PHX,shot,Devin Booker,,,,,,,,,Greg Monroe,2,,,made,,Layup,0,-3,0,25.3,5.0,Monroe  Layup (2 PTS) (Booker 1 AST)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,0,00:11:07,00:00:53,00:00:15,11,PHX,foul,,,,,,,,John Henson,,Devin Booker,,,s.foul,,,s.foul,,,,,,Booker S.FOUL (P1.T1) (N.Buchert)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,1,00:11:07,00:00:53,00:00:00,13,MIL,free throw,,,,,,,1,,2,John Henson,1,,,made,,Free Throw 1 of 2,,,,,,Henson Free Throw 1 of 2 (1 PTS)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:07,00:00:53,00:00:00,14,MIL,free throw,,,,,,,2,,2,John Henson,1,,,made,,Free Throw 2 of 2,,,,,,Henson Free Throw 2 of 2 (2 PTS)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,5,2,00:10:49,00:01:11,00:00:18,15,PHX,shot,,,,,,,,,,Devin Booker,3,,,made,,Jump Shot,23,-231,-20,48.1,3.0,Booker  3PT Jump Shot (3 PTS)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,5,2,00:10:21,00:01:39,00:00:28,16,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,20,-157,120,9.3,77.0,MISS Bledsoe 20' Jump Shot
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,5,2,00:10:18,00:01:42,00:00:03,17,PHX,rebound,,,,,,,,,,Devin Booker,,,,,,rebound defensive,,,,,,Booker REBOUND (Off:0 Def:1)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,5,2,00:10:07,00:01:53,00:00:11,19,PHX,miss,,,,,,,,,,TJ Warren,0,,,missed,,Jump Shot,23,226,2,2.4,5.2,MISS Warren  3PT Jump Shot
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,5,2,00:10:03,00:01:57,00:00:04,20,MIL,rebound,,,,,,,,,,Malcolm Brogdon,,,,,,rebound defensive,,,,,,Brogdon REBOUND (Off:0 Def:1)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,5,2,00:09:59,00:02:01,00:00:04,21,MIL,turnover,,,,,,,,,,Malcolm Brogdon,,,bad pass ,,Greg Monroe,bad pass ,,,,,,"Monroe STEAL (1 STL), Brogdon Bad Pass Turnover (P1.T2)"
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,7,2,00:09:56,00:02:04,00:00:03,23,PHX,shot,Greg Monroe,,,,,,,,,TJ Warren,2,,,made,,Running Dunk,1,4,8,24.6,5.8,Warren 1' Running Dunk (2 PTS) (Monroe 1 AST)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,7,2,00:09:26,00:02:34,00:00:30,24,MIL,miss,,,,,,,,,,John Henson,0,,,missed,,Jump Shot,20,84,183,33.4,70.7,MISS Henson 20' Jump Shot
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,7,2,00:09:26,00:02:34,00:00:00,25,PHX,rebound,,,,,,,,,,Greg Monroe,,,,,,rebound defensive,,,,,,Monroe REBOUND (Off:0 Def:1)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,10,2,00:09:11,00:02:49,00:00:15,26,PHX,shot,Greg Monroe,,,,,,,,,Dragan Bender,3,,,made,,Jump Shot,27,-155,217,40.5,26.7,Bender 27' 3PT Jump Shot (3 PTS) (Monroe 2 AST)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,10,2,00:09:09,00:02:51,00:00:02,28,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,BUCKS Timeout: Regular (Full 1 Short 0)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,10,2,00:08:55,00:03:05,00:00:14,30,MIL,miss,,,,TJ Warren,,,,,,Khris Middleton,0,,,missed,,Turnaround Jump Shot,17,68,161,31.8,72.9,"Warren BLOCK (1 BLK), MISS Middleton 17' Turnaround Jump Shot"
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,10,2,00:08:49,00:03:11,00:00:06,32,MIL,rebound,,,,,,,,,,John Henson,,,,,,rebound offensive,,,,,,Henson REBOUND (Off:1 Def:0)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,10,5,00:08:45,00:03:15,00:00:04,33,MIL,shot,Sterling Brown,,,,,,,,,Khris Middleton,3,,,made,,Jump Shot,26,181,183,43.1,70.7,Middleton 26' 3PT Jump Shot (3 PTS) (Brown 1 AST)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,10,5,00:08:24,00:03:36,00:00:21,35,PHX,miss,,,,,,,,,,Dragan Bender,0,,,missed,,Hook Shot,3,4,25,24.6,7.5,MISS Bender 3' Hook Shot
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,10,5,00:08:22,00:03:38,00:00:02,36,PHX,rebound,,,,,,,,,,Greg Monroe,,,,,,rebound offensive,,,,,,Monroe REBOUND (Off:1 Def:1)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,12,5,00:08:20,00:03:40,00:00:02,37,PHX,shot,,,,,,,,,,Greg Monroe,2,,,made,,Putback Layup,2,2,20,24.8,7.0,Monroe 2' Putback Layup (4 PTS)
"=""0021700691""",2017-2018 Regular Season,2018-01-22,TJ Warren,Dragan Bender,Greg Monroe,Devin Booker,Tyler Ulis,Sterling Brown,Khris Middleton,John Henson,Malcolm Brogdon,Eric Bledsoe,1,12,5,00:08:06,00:03:54,00:00:14,38,MIL,miss,,,,TJ Warren,,,,,,Malcolm Brogdon,0,,,missed,,Turnaround Fadeaway ,11,49,103,29.9,78.7,"Warren BLOCK (2 BLK), MISS Brogdon 11' Turnaround Fadeaway Shot"
