game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,Clint Capela,Maxi Kleber,,,,,,,Maxi Kleber,,Dirk Nowitzki,,,,jump ball,,,,,,Jump Ball Kleber vs. Capela: Tip to Nowitzki
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,3,00:11:46,00:00:14,00:00:14,7,DAL,shot,Maxi Kleber,,,,,,,,,Wesley Matthews,3,,,made,,Jump Shot,26,91,239,34.1,65.1,Matthews 26' 3PT Jump Shot (3 PTS) (Kleber 1 AST)
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,3,00:11:27,00:00:33,00:00:19,9,DAL,foul,,,,,,,,James Harden,,Maxi Kleber,,,p.foul,,,p.foul,,,,,,Kleber P.FOUL (P1.T1) (A.Smith)
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,3,3,00:11:19,00:00:41,00:00:08,11,HOU,shot,,,,,,,,,,James Harden,3,,,made,,Jump Shot,26,141,218,10.9,26.8,Harden 26' 3PT Jump Shot (3 PTS)
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,3,3,00:10:59,00:01:01,00:00:20,12,DAL,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Turnaround Jump Shot,6,25,58,27.5,83.2,MISS Barnes 6' Turnaround Jump Shot
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,3,3,00:10:57,00:01:03,00:00:02,13,HOU,rebound,,,,,,,,,,Ryan Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,6,3,00:10:44,00:01:16,00:00:13,14,HOU,shot,James Harden,,,,,,,,,Chris Paul,3,,,made,,Jump Shot,23,-232,-15,48.2,3.5,Paul  3PT Jump Shot (3 PTS) (Harden 1 AST)
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,6,3,00:10:35,00:01:25,00:00:09,16,DAL,turnover,,,,,,,,,,Dennis Smith Jr.,,,bad pass ,,Trevor Ariza,bad pass ,,,,,,"Ariza STEAL (1 STL), Smith Jr. Bad Pass Turnover (P1.T1)"
"=""0021700706""",2017-2018 Regular Season,2018-01-24,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,8,3,00:10:33,00:01:27,00:00:02,18,HOU,shot,,,,,,,,,,Trevor Ariza,2,,,made,,Running Dunk,2,-2,17,25.2,6.7,Ariza 2' Running Dunk (2 PTS)
