game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Karl-Anthony Towns,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Taj Gibson,,,,jump ball,,,,,,Jump Ball Nurkic vs. Towns: Tip to Gibson
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:41,00:00:19,00:00:19,7,MIN,miss,,,,,,,,,,Taj Gibson,0,,,missed,,Pullup Jump Shot,12,116,-2,13.4,4.8,MISS Gibson 12' Pullup Jump Shot
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:38,00:00:22,00:00:03,8,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:1)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:31,00:00:29,00:00:07,9,POR,shot,,,,,,,,,,Evan Turner,2,,,made,,Step Back Jump Shot,15,123,88,37.3,80.2,Turner 15' Step Back Jump Shot (2 PTS)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:14,00:00:46,00:00:17,10,MIN,shot,,,,,,,,,,Andrew Wiggins,2,,,made,,Driving Finger Roll Layup,1,7,11,24.3,6.1,Wiggins 1' Driving Finger Roll Layup (2 PTS)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:10:49,00:01:11,00:00:25,11,POR,miss,,,,,,,,,,Al-Farouq Aminu,0,,,missed,,Jump Shot,24,226,67,47.6,82.3,MISS Aminu 24' 3PT Jump Shot
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:10:45,00:01:15,00:00:04,12,MIN,rebound,,,,,,,,,,Nemanja Bjelica,,,,,,rebound defensive,,,,,,Bjelica REBOUND (Off:0 Def:1)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:10:39,00:01:21,00:00:06,13,MIN,miss,,,,,,,,,,Taj Gibson,0,,,missed,,Reverse Layup,3,-26,13,27.6,6.3,MISS Gibson 3' Reverse Layup
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:10:37,00:01:23,00:00:02,14,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:2)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:10:30,00:01:30,00:00:07,15,POR,turnover,,,,,,,,,,Al-Farouq Aminu,,,bad pass ,,Jeff Teague,bad pass ,,,,,,"Teague STEAL (1 STL), Aminu Bad Pass Turnover (P1.T1)"
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:16,00:01:44,00:00:14,17,MIN,shot,,,,,,,,,,Taj Gibson,2,,,made,,Jump Shot,18,-97,146,34.7,19.6,Gibson 18' Jump Shot (2 PTS)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:09:58,00:02:02,00:00:18,18,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Pullup Jump Shot,16,-145,78,10.5,81.2,MISS McCollum 16' Pullup Jump Shot
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:09:55,00:02:05,00:00:03,19,MIN,rebound,,,,,,,,,,Jeff Teague,,,,,,rebound defensive,,,,,,Teague REBOUND (Off:0 Def:1)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,6,2,00:09:48,00:02:12,00:00:07,20,MIN,shot,,,,,,,,,,Karl-Anthony Towns,2,,,made,,unknown,1,8,5,24.2,5.5,Towns 1' Driving Layup (2 PTS)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,6,4,00:09:39,00:02:21,00:00:09,21,POR,shot,,,,,,,,,,CJ McCollum,2,,,made,,unknown,1,-12,5,23.8,88.5,McCollum 1' Driving Layup (2 PTS)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,8,4,00:09:24,00:02:36,00:00:15,22,MIN,shot,Jeff Teague,,,,,,,,,Karl-Anthony Towns,2,,,made,,Layup,1,-11,9,26.1,5.9,Towns 1' Layup (4 PTS) (Teague 1 AST)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,8,7,00:09:13,00:02:47,00:00:11,24,POR,shot,Evan Turner,,,,,,,,,Damian Lillard,3,,,made,,Jump Shot,28,-166,226,8.4,66.4,Lillard 28' 3PT Jump Shot (3 PTS) (Turner 1 AST)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,10,7,00:08:59,00:03:01,00:00:14,26,MIN,shot,,,,,,,,,,Jeff Teague,2,,,made,,Turnaround Jump Shot,4,-35,9,28.5,5.9,Teague 4' Turnaround Jump Shot (2 PTS)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,10,7,00:08:45,00:03:15,00:00:14,27,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Jump Shot,21,-127,173,12.3,71.7,MISS Nurkic 21' Jump Shot
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,10,7,00:08:43,00:03:17,00:00:02,28,MIN,rebound,,,,,,,,,,Andrew Wiggins,,,,,,rebound defensive,,,,,,Wiggins REBOUND (Off:0 Def:1)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,12,7,00:08:32,00:03:28,00:00:11,29,MIN,shot,Andrew Wiggins,,,,,,,,,Taj Gibson,2,,,made,,Jump Shot,14,-139,10,38.9,6.0,Gibson 14' Jump Shot (4 PTS) (Wiggins 1 AST)
"=""0021700708""",2017-2018 Regular Season,2018-01-24,Nemanja Bjelica,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,12,7,00:08:05,00:03:55,00:00:27,31,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Turnaround Jump Shot,1,3,8,25.3,88.2,MISS Nurkic 1' Turnaround Jump Shot
