game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Aron Baynes,DeAndre Jordan,,,,,,,DeAndre Jordan,,Milos Teodosic,,,,jump ball,,,,,,Jump Ball Jordan vs. Baynes: Tip to Teodosic
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:46,00:00:14,00:00:14,7,LAC,miss,,,,,,,,,,Blake Griffin,0,,,missed,,Floating Jump Shot,6,-7,58,24.3,83.2,MISS Griffin 6' Floating Jump Shot
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:44,00:00:16,00:00:02,8,BOS,rebound,,,,,,,,,,Aron Baynes,,,,,,rebound defensive,,,,,,Baynes REBOUND (Off:0 Def:1)
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:29,00:00:31,00:00:15,9,BOS,miss,,,,,,,,,,Marcus Morris,0,,,missed,,Jump Shot,23,231,4,1.9,5.4,MISS Morris  3PT Jump Shot
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:26,00:00:34,00:00:03,10,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:18,00:00:42,00:00:08,11,BOS,foul,,,,,,,,Blake Griffin,,Marcus Morris,,,p.foul,,,p.foul,,,,,,Morris P.FOUL (P1.T1) (R.Mott)
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:08,00:00:52,00:00:10,13,LAC,miss,,,,,,,,,,Blake Griffin,0,,,missed,,unknown,2,8,22,25.8,86.8,MISS Griffin 2' Cutting Layup Shot
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:04,00:00:56,00:00:04,14,LAC,rebound,,,,,,,,,,Milos Teodosic,,,,,,rebound offensive,,,,,,Teodosic REBOUND (Off:1 Def:0)
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,2,00:11:04,00:00:56,00:00:00,15,LAC,shot,,,,,,,,,,Milos Teodosic,2,,,made,,unknown,1,0,-6,25.0,89.6,Teodosic 1' Tip Layup Shot (2 PTS)
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,3,2,00:10:52,00:01:08,00:00:12,16,BOS,shot,,,,,,,,,,Kyrie Irving,3,,,made,,Pullup Jump Shot,26,-38,260,28.8,31.0,Irving 26' 3PT Pullup Jump Shot (3 PTS)
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,3,2,00:10:24,00:01:36,00:00:28,17,LAC,miss,,,,,,,,,,Blake Griffin,0,,,missed,,Turnaround Fadeaway ,22,-107,193,14.3,69.7,MISS Griffin 22' Turnaround Fadeaway Shot
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,3,2,00:10:19,00:01:41,00:00:05,18,BOS,rebound,,,,,,,,,,Aron Baynes,,,,,,rebound defensive,,,,,,Baynes REBOUND (Off:0 Def:2)
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,3,2,00:10:09,00:01:51,00:00:10,19,BOS,miss,,,,Wesley Johnson,,,,,,Jaylen Brown,0,,,missed,,unknown,5,46,8,20.4,5.8,"MISS Brown 5' Driving Layup, W. Johnson BLOCK (1 BLK)"
"=""0021700709""",2017-2018 Regular Season,2018-01-24,Jayson Tatum,Marcus Morris,Aron Baynes,Jaylen Brown,Kyrie Irving,Wesley Johnson,Blake Griffin,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,3,2,00:10:06,00:01:54,00:00:03,21,LAC,rebound,,,,,,,,,,Wesley Johnson,,,,,,rebound defensive,,,,,,W. Johnson REBOUND (Off:0 Def:1)
