game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Kristaps Porzingis,Marquese Chriss,,,,,,,Marquese Chriss,,Enes Kanter,,,,jump ball,,,,,,Jump Ball Chriss vs. Porzingis: Tip to Kanter
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,0,0,00:11:45,00:00:15,00:00:15,7,PHX,foul,,,,,,,,Kristaps Porzingis,,Marquese Chriss,,,s.foul,,,s.foul,,,,,,Chriss S.FOUL (P1.T1) (G.Petraitis)
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,1,0,00:11:45,00:00:15,00:00:00,9,NYK,free throw,,,,,,,1,,2,Kristaps Porzingis,1,,,made,,Free Throw 1 of 2,,,,,,Porzingis Free Throw 1 of 2 (1 PTS)
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,2,0,00:11:45,00:00:15,00:00:00,10,NYK,free throw,,,,,,,2,,2,Kristaps Porzingis,1,,,made,,Free Throw 2 of 2,,,,,,Porzingis Free Throw 2 of 2 (2 PTS)
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,2,0,00:11:32,00:00:28,00:00:13,11,PHX,miss,,,,Kristaps Porzingis,,,,,,Greg Monroe,0,,,missed,,unknown,2,-14,11,23.6,87.9,"Porzingis BLOCK (1 BLK), MISS Monroe 2' Cutting Layup Shot"
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,2,0,00:11:29,00:00:31,00:00:03,13,NYK,rebound,,,,,,,,,,Kristaps Porzingis,,,,,,rebound defensive,,,,,,Porzingis REBOUND (Off:0 Def:1)
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,4,0,00:11:20,00:00:40,00:00:09,14,NYK,shot,,,,,,,,,,Enes Kanter,2,,,made,,Reverse Layup,1,-2,10,25.2,6.0,Kanter 1' Reverse Layup (2 PTS)
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,4,0,00:11:20,00:00:40,00:00:00,15,PHX,foul,,,,,,,,Enes Kanter,,TJ Warren,,,s.foul,,,s.foul,,,,,,Warren S.FOUL (P1.T2) (S.Wright)
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,5,0,00:11:20,00:00:40,00:00:00,17,NYK,free throw,,,,,,,1,,1,Enes Kanter,1,,,made,,Free Throw 1 of 1,,,,,,Kanter Free Throw 1 of 1 (3 PTS)
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,5,0,00:10:58,00:01:02,00:00:22,18,PHX,miss,,,,,,,,,,Marquese Chriss,0,,,missed,,unknown,1,-11,-3,23.9,89.3,MISS Chriss 1' Driving Layup
"=""0021700723""",2017-2018 Regular Season,2018-01-26,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,TJ Warren,Marquese Chriss,Greg Monroe,Troy Daniels,Devin Booker,1,5,0,00:10:56,00:01:04,00:00:02,19,NYK,rebound,,,,,,,,,,Tim Hardaway Jr.,,,,,,rebound defensive,,,,,,Hardaway Jr. REBOUND (Off:0 Def:1)
