game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:12:00,0:00:00,0:00:00,4,OKC,jump ball,,Steven Adams,Andre Drummond,,,,,,,Andre Drummond,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Drummond vs. Adams: Tip to Westbrook
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:37,0:00:23,0:00:23,7,OKC,turnover,,,,,,,,,,Carmelo Anthony,,,traveling ,,,traveling ,,,,,,Anthony Traveling Turnover (P1.T1)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:23,0:00:37,0:00:14,8,OKC,foul,,,,,,,,Andre Drummond,,Carmelo Anthony,,,s.foul,,,s.foul,,,,,,Anthony S.FOUL (P1.T1) (T.Washington)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:23,0:00:37,0:00:00,10,DET,free throw,,,,,,,1,,2,Andre Drummond,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Drummond Free Throw 1 of 2
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:23,0:00:37,0:00:00,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:23,0:00:37,0:00:00,12,DET,free throw,,,,,,,2,,2,Andre Drummond,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Drummond Free Throw 2 of 2
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:19,0:00:41,0:00:04,13,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound offensive,,,,,,Drummond REBOUND (Off:1 Def:0)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:18,0:00:42,0:00:01,14,DET,turnover,,,,,,,,,,Andre Drummond,,,lost ball ,,Carmelo Anthony,lost ball ,,,,,,"Anthony STEAL (1 STL), Drummond Lost Ball Turnover (P1.T1)"
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:14,0:00:46,0:00:04,16,OKC,miss,,,,,,,,,,Carmelo Anthony,0,,,missed,,Jump Shot,25,-55,245,30.5,29.5,MISS Anthony 25' 3PT Jump Shot
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:12,0:00:48,0:00:02,17,OKC,rebound,,,,,,,,,,Paul George,,,,,,rebound offensive,,,,,,George REBOUND (Off:1 Def:0)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:11:03,0:00:57,0:00:09,18,OKC,turnover,,,,,,,,,,Carmelo Anthony,,,,,,unknown,,,,,,Anthony Out of Bounds - Bad Pass Turnover Turnover (P2.T2)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:10:43,0:01:17,0:00:20,19,DET,miss,,,,,,,,,,Stanley Johnson,0,,,missed,,Pullup Jump Shot,13,118,57,36.8,83.3,MISS Johnson 13' Pullup Jump Shot
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:10:40,0:01:20,0:00:03,20,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:10:36,0:01:24,0:00:04,21,OKC,turnover,,,,,,,,,,Russell Westbrook,,,bad pass ,,Andre Drummond,bad pass ,,,,,,"Westbrook Bad Pass Turnover (P1.T3), Drummond STEAL (1 STL)"
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:10:29,0:01:31,0:00:07,23,DET,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Jump Shot,22,-221,13,2.9,87.7,MISS Bradley  3PT Jump Shot
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,0,0,0:10:20,0:01:40,0:00:09,24,OKC,rebound,,,,,,,,,,Carmelo Anthony,,,,,,rebound defensive,,,,,,Anthony REBOUND (Off:0 Def:1)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,2,0,0:10:16,0:01:44,0:00:04,27,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,Pullup Jump Shot,13,-92,96,34.2,14.6,Westbrook 13' Pullup Jump Shot (2 PTS)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,2,0,0:10:01,0:01:59,0:00:15,28,DET,turnover,,,,,,,,,,Avery Bradley,,,lost ball ,,Russell Westbrook,lost ball ,,,,,,"Westbrook STEAL (1 STL), Bradley Lost Ball Turnover (P1.T2)"
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,2,0,0:09:58,0:02:02,0:00:03,30,DET,foul,,,,,,,,Russell Westbrook,,Langston Galloway,,,s.foul,,,s.foul,,,,,,Galloway S.FOUL (P1.T1) (T.Washington)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,2,0,0:09:58,0:02:02,0:00:00,32,OKC,free throw,,,,,,,1,,2,Russell Westbrook,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Westbrook Free Throw 1 of 2
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,2,0,0:09:58,0:02:02,0:00:00,33,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Thunder Rebound
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,2,0,0:09:58,0:02:02,0:00:00,34,OKC,free throw,,,,,,,2,,2,Russell Westbrook,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Westbrook Free Throw 2 of 2
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,2,0,0:09:56,0:02:04,0:00:02,35,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:1 Def:0)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,4,0,0:09:53,0:02:07,0:00:03,36,OKC,shot,,,,,,,,,,Steven Adams,2,,,made,,Layup,1,-2,9,25.2,5.9,Adams 1' Layup (2 PTS)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,4,2,0:09:35,0:02:25,0:00:18,37,DET,shot,,,,,,,,,,Andre Drummond,2,,,made,,Driving Hook Shot,9,-68,63,18.2,82.7,Drummond 9' Driving Hook Shot (2 PTS)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,4,2,0:09:18,0:02:42,0:00:17,38,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Jump Shot,26,-198,167,44.8,21.7,MISS George 26' 3PT Jump Shot
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,4,2,0:09:14,0:02:46,0:00:04,39,DET,rebound,,,,,,,,,,Avery Bradley,,,,,,rebound defensive,,,,,,Bradley REBOUND (Off:0 Def:1)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,4,5,0:09:06,0:02:54,0:00:08,40,DET,shot,Langston Galloway,,,,,,,,,Tobias Harris,3,,,made,,Pullup Jump Shot,26,174,187,42.4,70.3,Harris 26' 3PT Pullup Jump Shot (3 PTS) (Galloway 1 AST)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,7,5,0:08:55,0:03:05,0:00:11,42,OKC,shot,Russell Westbrook,,,,,,,,,Paul George,3,,,made,,Jump Shot,25,239,75,1.1,12.5,George 25' 3PT Jump Shot (3 PTS) (Westbrook 1 AST)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,7,8,0:08:42,0:03:18,0:00:13,44,DET,shot,,,,,,,,,,Langston Galloway,3,,,made,,Jump Shot,26,-169,197,8.1,69.3,Galloway 26' 3PT Jump Shot (3 PTS)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,9,8,0:08:24,0:03:36,0:00:18,45,OKC,shot,,,,,,,,,,Paul George,2,,,made,,unknown,1,-2,14,25.2,6.4,George 1' Driving Layup (5 PTS)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,9,8,0:08:24,0:03:36,0:00:00,46,DET,foul,,,,,,,,Paul George,,Langston Galloway,,,s.foul,,,s.foul,,,,,,Galloway S.FOUL (P2.T2) (M.Ervin)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,10,8,0:08:24,0:03:36,0:00:00,48,OKC,free throw,,,,,,,1,,1,Paul George,1,,,made,,Free Throw 1 of 1,,,,,,George Free Throw 1 of 1 (6 PTS)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,10,8,0:08:12,0:03:48,0:00:12,49,OKC,foul,,,,,,,,Langston Galloway,,Russell Westbrook,,,s.foul,,,s.foul,,,,,,Westbrook S.FOUL (P1.T2) (D.Guthrie)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,10,8,0:08:12,0:03:48,0:00:00,51,DET,free throw,,,,,,,1,,3,Langston Galloway,0,,,missed,,Free Throw 1 of 3,,,,,,MISS Galloway Free Throw 1 of 3
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,10,8,0:08:12,0:03:48,0:00:00,52,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,10,8,0:08:12,0:03:48,0:00:00,53,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Thunder Timeout: Regular (Reg.1 Short 0)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,10,9,0:08:12,0:03:48,0:00:00,54,DET,free throw,,,,,,,2,,3,Langston Galloway,1,,,made,,Free Throw 2 of 3,,,,,,Galloway Free Throw 2 of 3 (4 PTS)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,10,10,0:08:12,0:03:48,0:00:00,55,DET,free throw,,,,,,,3,,3,Langston Galloway,1,,,made,,Free Throw 3 of 3,,,,,,Galloway Free Throw 3 of 3 (5 PTS)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Langston Galloway,1,10,10,0:08:04,0:03:56,0:00:08,56,DET,foul,,,,,,,,Russell Westbrook,,Avery Bradley,,,p.foul,,,p.foul,,,,,,Bradley P.FOUL (P1.T3) (T.Washington)
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Ish Smith,1,10,10,0:08:04,0:03:56,0:00:00,58,DET,sub,,,,,Ish Smith,Langston Galloway,,,,Langston Galloway,,,,,,sub,,,,,,SUB: Smith FOR Galloway
0021700724,2017-2018 Regular Season,1/27/2018,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Ish Smith,1,10,10,0:07:58,0:04:02,0:00:06,60,OKC,miss,,,,,,,,,,Russell Westbrook,0,,,missed,,Layup,3,2,30,24.8,8,MISS Westbrook 3' Layup
