game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Amir Johnson,John Henson,,,,,,,John Henson,,Khris Middleton,,,,jump ball,,,,,,Jump Ball Henson vs. Johnson: Tip to Middleton
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,0,2,00:11:42,00:00:18,00:00:18,7,MIL,shot,Khris Middleton,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Layup,0,-2,4,24.8,88.6,Antetokounmpo  Layup (2 PTS) (Middleton 1 AST)
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:22,00:00:38,00:00:20,9,PHI,shot,Dario Saric,,,,,,,,,Timothe Luwawu-Cabarrot,2,,,made,,unknown,2,0,16,25.0,6.6,Luwawu-Cabarrot 2' Cutting Layup Shot (2 PTS) (Saric 1 AST)
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:08,00:00:52,00:00:14,11,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Jump Shot,17,-90,143,16.0,74.7,MISS Middleton 17' Jump Shot
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:05,00:00:55,00:00:03,12,PHI,rebound,,,,,,,,,,Robert Covington,,,,,,rebound defensive,,,,,,Covington REBOUND (Off:0 Def:1)
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:11:02,00:00:58,00:00:03,13,PHI,miss,,,,,,,,,,Dario Saric,0,,,missed,,Jump Shot,26,-212,155,46.2,20.5,MISS Saric 26' 3PT Jump Shot
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,2,2,00:10:56,00:01:04,00:00:06,14,PHI,rebound,,,,,,,,,,Amir Johnson,,,,,,rebound offensive,,,,,,Johnson REBOUND (Off:1 Def:0)
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,4,2,00:10:48,00:01:12,00:00:08,15,PHI,shot,,,,,,,,,,Dario Saric,2,,,made,,Reverse Layup,1,-3,11,25.3,6.1,Saric 1' Reverse Layup (2 PTS)
"=""0021700741""",2017-2018 Regular Season,2018-01-29,Robert Covington,Dario Saric,Amir Johnson,Timothe Luwawu-Cabarrot,Ben Simmons,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,1,4,4,00:10:38,00:01:22,00:00:10,16,MIL,shot,Eric Bledsoe,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Alley Oop Layup,2,15,15,26.5,87.5,Antetokounmpo 2' Alley Oop Layup (4 PTS) (Bledsoe 1 AST)
