game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,Hassan Whiteside,Maxi Kleber,,,,,,,Maxi Kleber,,Harrison Barnes,,,,jump ball,,,,,,Jump Ball Kleber vs. Whiteside: Tip to Barnes
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:41,00:00:19,00:00:19,7,DAL,turnover,,,,,,,,,,Dennis Smith Jr.,,,bad pass ,,Tyler Johnson,bad pass ,,,,,,"Johnson STEAL (1 STL), Smith Jr. Bad Pass Turnover (P1.T1)"
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:23,00:00:37,00:00:18,9,MIA,miss,,,,,,,,,,Hassan Whiteside,0,,,missed,,Turnaround Jump Shot,6,54,15,19.6,6.5,MISS Whiteside 6' Turnaround Jump Shot
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:20,00:00:40,00:00:03,10,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,rebound defensive,,,,,,Nowitzki REBOUND (Off:0 Def:1)
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:11:09,00:00:51,00:00:11,11,DAL,shot,Wesley Matthews,,,,,,,,,Harrison Barnes,2,,,made,,unknown,1,-2,10,24.8,88.0,Barnes 1' Cutting Dunk Shot (2 PTS) (Matthews 1 AST)
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:10:42,00:01:18,00:00:27,13,MIA,miss,,,,,,,,,,Hassan Whiteside,0,,,missed,,unknown,4,-32,24,28.2,7.4,MISS Whiteside 4' Turnaround Fadeaway Bank Jump Shot
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:10:40,00:01:20,00:00:02,14,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,rebound defensive,,,,,,Nowitzki REBOUND (Off:0 Def:2)
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:10:21,00:01:39,00:00:19,15,DAL,miss,,,,,,,,,,Dennis Smith Jr.,0,,,missed,,Step Back Jump Shot,16,-121,100,12.9,79.0,MISS Smith Jr. 16' Step Back Jump Shot
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:10:19,00:01:41,00:00:02,16,MIA,rebound,,,,,,,,,,Tyler Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:10:12,00:01:48,00:00:07,17,DAL,foul,,,,,,,,Tyler Johnson,,Dennis Smith Jr.,,,p.foul,,,p.foul,,,,,,Smith Jr. P.FOUL (P1.T1) (D.Stafford)
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,2,2,00:10:06,00:01:54,00:00:06,19,MIA,shot,Josh Richardson,,,,,,,,,Goran Dragic,2,,,made,,Jump Shot,15,152,6,9.8,5.6,Dragic 15' Jump Shot (2 PTS) (Richardson 1 AST)
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,2,4,00:09:53,00:02:07,00:00:13,21,DAL,shot,,,,,,,,,,Wesley Matthews,2,,,made,,Pullup Jump Shot,19,30,188,28.0,70.2,Matthews 19' Pullup Jump Shot (2 PTS)
"=""0021700742""",2017-2018 Regular Season,2018-01-29,Josh Richardson,James Johnson,Hassan Whiteside,Tyler Johnson,Goran Dragic,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,4,4,00:09:34,00:02:26,00:00:19,22,MIA,shot,Tyler Johnson,,,,,,,,,Hassan Whiteside,2,,,made,,Hook Shot,4,-3,38,25.3,8.8,Whiteside 4' Hook Shot (2 PTS) (Johnson 1 AST)
