game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Kosta Koufos,Anthony Davis,,,,,,,Anthony Davis,,Justin Jackson,,,,jump ball,,,,,,Jump Ball Davis vs. Koufos: Tip to Jackson
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:11:42,00:00:18,00:00:18,7,SAC,turnover,,,,,,,,,,Zach Randolph,,,lost ball ,,Rajon Rondo,lost ball ,,,,,,"Randolph Lost Ball Turnover (P1.T1), Rondo STEAL (1 STL)"
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,0,00:11:39,00:00:21,00:00:03,9,SAC,violation,,,,,,,,,,De'Aaron Fox,,,,,,violation:kicked ball,,,,,,Fox Violation:Kicked Ball (B.Nansel)
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,0,2,00:11:31,00:00:29,00:00:08,10,NOP,shot,Jrue Holiday,,,,,,,,,Dante Cunningham,2,,,made,,Pullup Jump Shot,16,162,-5,41.2,89.5,Cunningham 16' Pullup Jump Shot (2 PTS) (Holiday 1 AST)
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,3,2,00:11:19,00:00:41,00:00:12,12,SAC,shot,,,,,,,,,,De'Aaron Fox,3,,,made,,Jump Shot,26,-165,201,41.5,25.1,Fox 26' 3PT Jump Shot (3 PTS)
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,3,4,00:11:07,00:00:53,00:00:12,13,NOP,shot,E'Twaun Moore,,,,,,,,,Jrue Holiday,2,,,made,,unknown,1,-8,2,24.2,88.8,Holiday 1' Cutting Layup Shot (2 PTS) (Moore 1 AST)
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,3,4,00:11:00,00:01:00,00:00:07,15,SAC,miss,,,,,,,,,,Bogdan Bogdanovic,0,,,missed,,Jump Shot,23,225,52,2.5,10.2,MISS Bogdanovic  3PT Jump Shot
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,3,4,00:11:00,00:01:00,00:00:00,16,SAC,rebound,,,,,,,,,,Kosta Koufos,,,,,,rebound offensive,,,,,,Koufos REBOUND (Off:1 Def:0)
"=""0021700749""",2017-2018 Regular Season,2018-01-30,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,E'Twaun Moore,Dante Cunningham,Anthony Davis,Jrue Holiday,Rajon Rondo,1,3,4,00:10:56,00:01:04,00:00:04,17,NOP,foul,,,,,,,,Kosta Koufos,,Anthony Davis,,,s.foul,,,s.foul,,,,,,Davis S.FOUL (P1.T1) (M.Smith)
