game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Jusuf Nurkic,DeAndre Jordan,,,,,,,DeAndre Jordan,,Al-Farouq Aminu,,,,jump ball,,,,,,Jump Ball Jordan vs. Nurkic: Tip to Aminu
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:33,00:00:27,00:00:27,8,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Floating Jump Shot,6,18,53,23.2,10.3,MISS Nurkic 6' Floating Jump Shot
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:31,00:00:29,00:00:02,9,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound offensive,,,,,,Nurkic REBOUND (Off:1 Def:0)
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:30,00:00:30,00:00:01,10,POR,miss,,,,DeAndre Jordan,,,,,,Jusuf Nurkic,0,,,missed,,Putback Layup,2,5,21,24.5,7.1,"MISS Nurkic 2' Putback Layup, Jordan BLOCK (1 BLK)"
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:30,00:00:30,00:00:00,12,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound offensive,,,,,,Aminu REBOUND (Off:1 Def:0)
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:27,00:00:33,00:00:03,13,POR,miss,,,,,,,,,,Al-Farouq Aminu,0,,,missed,,Layup,1,-8,3,25.8,5.3,MISS Aminu 1' Layup
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:27,00:00:33,00:00:00,14,LAC,rebound,,,,,,,,,,Wesley Johnson,,,,,,rebound defensive,,,,,,W. Johnson REBOUND (Off:0 Def:1)
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:15,00:00:45,00:00:12,15,POR,foul,,,,,,,,DeAndre Jordan,,Evan Turner,,,p.foul,,,p.foul,,,,,,Turner P.FOUL (P1.T1) (M.Lindsay)
"=""0021700752""",2017-2018 Regular Season,2018-01-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Tyrone Wallace,Milos Teodosic,1,0,0,00:11:05,00:00:55,00:00:10,17,LAC,miss,,,,,,,,,,Milos Teodosic,0,,,missed,,Jump Shot,28,-112,252,13.8,63.8,MISS Teodosic 28' 3PT Jump Shot
