game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Robin Lopez,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Paul Zipser,,,,jump ball,,,,,,Jump Ball Nurkic vs. Lopez: Tip to Zipser
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:42,00:00:18,00:00:18,7,CHI,miss,,,,,,,,,,Justin Holiday,0,,,missed,,Jump Shot,23,230,16,2.0,6.6,MISS Holiday  3PT Jump Shot
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:39,00:00:21,00:00:03,8,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:1)
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:22,00:00:38,00:00:17,9,POR,shot,,,,,,,,,,Evan Turner,2,,,made,,Turnaround Fadeaway ,12,-116,7,13.4,88.3,Turner 12' Turnaround Fadeaway (2 PTS)
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:07,00:00:53,00:00:15,11,POR,foul,,,,,,,,Jerian Grant,,Jusuf Nurkic,,,p.foul,,,p.foul,,,,,,Nurkic P.FOUL (P1.T1) (R.Garretson)
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:01,00:00:59,00:00:06,13,CHI,shot,,,,,,,,,,Zach LaVine,2,,,made,,Pullup Jump Shot,16,79,141,17.1,19.1,LaVine 16' Pullup Jump Shot (2 PTS)
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,4,00:10:45,00:01:15,00:00:16,14,POR,shot,Damian Lillard,,,,,,,,,CJ McCollum,2,,,made,,Jump Shot,16,145,73,39.5,81.7,McCollum 16' Jump Shot (2 PTS) (Lillard 1 AST)
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,4,00:10:29,00:01:31,00:00:16,16,CHI,miss,,,,,,,,,,Paul Zipser,0,,,missed,,unknown,3,-26,15,27.6,6.5,MISS Zipser 3' Driving Floating Bank Jump Shot
"=""0021700759""",2017-2018 Regular Season,2018-01-31,Justin Holiday,Paul Zipser,Robin Lopez,Zach LaVine,Jerian Grant,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,4,00:10:28,00:01:32,00:00:01,17,POR,rebound,,,,,,,,,,Evan Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
