game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Clint Capela,Pau Gasol,,,,,,,Pau Gasol,,Kyle Anderson,,,,jump ball,,,,,,Jump Ball Gasol vs. Capela: Tip to Anderson
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,0,00:11:36,00:00:24,00:00:24,7,SAS,miss,,,,,,,,,,Danny Green,0,,,missed,,Pullup Jump Shot,21,143,147,39.3,74.3,MISS Green 21' Pullup Jump Shot
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,0,00:11:32,00:00:28,00:00:04,8,HOU,rebound,,,,,,,,,,Luc Mbah a Moute,,,,,,rebound defensive,,,,,,Mbah a Moute REBOUND (Off:0 Def:1)
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,0,00:11:26,00:00:34,00:00:06,9,HOU,miss,,,,Pau Gasol,,,,,,Clint Capela,0,,,missed,,Layup,2,-8,14,25.8,6.4,"MISS Capela 2' Layup, Gasol BLOCK (1 BLK)"
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,0,00:11:21,00:00:39,00:00:05,11,SAS,rebound,,,,,,,,,,Kyle Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,2,00:11:17,00:00:43,00:00:04,12,SAS,shot,Pau Gasol,,,,,,,,,Danny Green,2,,,made,,unknown,1,-5,6,24.5,88.4,Green 1' Driving Layup (2 PTS) (Gasol 1 AST)
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,2,00:10:58,00:01:02,00:00:19,14,HOU,turnover,,,,,,,,,,Clint Capela,,,bad pass ,,Pau Gasol,bad pass ,,,,,,"Capela Bad Pass Turnover (P1.T1), Gasol STEAL (1 STL)"
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,2,00:10:50,00:01:10,00:00:08,16,SAS,miss,,,,,,,,,,Danny Green,0,,,missed,,Jump Shot,26,-166,202,8.4,68.8,MISS Green 26' 3PT Jump Shot
"=""0021700764""",2017-2018 Regular Season,2018-02-01,Luc Mbah a Moute,Ryan Anderson,Clint Capela,Chris Paul,James Harden,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Dejounte Murray,1,0,2,00:10:47,00:01:13,00:00:03,17,HOU,rebound,,,,,,,,,,Clint Capela,,,,,,rebound defensive,,,,,,Capela REBOUND (Off:0 Def:1)
