game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Rudy Gobert,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Davis Bertans,,,,jump ball,,,,,,Jump Ball Aldridge vs. Gobert: Tip to Bertans
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,0,00:11:46,00:00:14,00:00:14,7,SAS,miss,,,,,,,,,,Dejounte Murray,0,,,missed,,unknown,13,57,115,30.7,77.5,MISS Murray 13' Driving Floating Jump Shot
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,0,00:11:46,00:00:14,00:00:00,8,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,SPURS Rebound
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,2,00:11:39,00:00:21,00:00:07,9,SAS,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,Turnaround Fadeaway ,12,35,111,28.5,77.9,Aldridge 12' Turnaround Fadeaway (2 PTS)
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,2,00:11:12,00:00:48,00:00:27,11,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,23,-230,20,48.0,7.0,MISS Favors  3PT Jump Shot
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,2,00:11:08,00:00:52,00:00:04,12,SAS,rebound,,,,,,,,,,Kyle Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,4,00:11:00,00:01:00,00:00:08,13,SAS,shot,LaMarcus Aldridge,,,,,,,,,Kyle Anderson,2,,,made,,Pullup Jump Shot,11,6,113,25.6,77.7,Anderson 11' Pullup Jump Shot (2 PTS) (Aldridge 1 AST)
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,4,00:10:44,00:01:16,00:00:16,15,UTA,turnover,,,,,,,,,,Joe Ingles,,,bad pass ,,LaMarcus Aldridge,bad pass ,,,,,,"Ingles Bad Pass Turnover (P1.T1), Aldridge STEAL (1 STL)"
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,4,00:10:43,00:01:17,00:00:01,18,UTA,foul,,,,,,,,Dejounte Murray,,Ricky Rubio,,,p.foul,,,p.foul,,,,,,Rubio P.FOUL (P1.T1) (J.DeRosa)
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,6,00:10:32,00:01:28,00:00:11,20,SAS,shot,LaMarcus Aldridge,,,,,,,,,Dejounte Murray,2,,,made,,unknown,5,33,40,28.3,85.0,Murray 5' Driving Floating Bank Jump Shot (2 PTS) (Aldridge 2 AST)
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,6,00:10:17,00:01:43,00:00:15,22,SAS,foul,,,,,,,,Alec Burks,,Danny Green,,,s.foul,,,s.foul,,,,,,Green S.FOUL (P1.T1) (J.Williams)
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,6,00:10:17,00:01:43,00:00:00,24,UTA,free throw,,,,,,,1,,2,Alec Burks,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Burks Free Throw 1 of 2
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,0,6,00:10:17,00:01:43,00:00:00,25,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Jazz Rebound
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,1,6,00:10:17,00:01:43,00:00:00,26,UTA,free throw,,,,,,,2,,2,Alec Burks,1,,,made,,Free Throw 2 of 2,,,,,,Burks Free Throw 2 of 2 (1 PTS)
"=""0021700781""",2017-2018 Regular Season,2018-02-03,Joe Ingles,Derrick Favors,Rudy Gobert,Alec Burks,Ricky Rubio,Kyle Anderson,LaMarcus Aldridge,Davis Bertans,Danny Green,Dejounte Murray,1,1,6,00:10:03,00:01:57,00:00:14,27,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Turnaround Fadeaway ,12,-41,113,20.9,77.7,MISS Aldridge 12' Turnaround Fadeaway Shot
