game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Dwight Powell,DeAndre Jordan,,,,,,,DeAndre Jordan,,Danilo Gallinari,,,,jump ball,,,,,,Jump Ball Jordan vs. Powell: Tip to Gallinari
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,0,2,00:11:39,00:00:21,00:00:21,7,LAC,shot,,,,,,,,,,Danilo Gallinari,2,,,made,,Jump Shot,14,-128,56,12.2,83.4,Gallinari 14' Jump Shot (2 PTS)
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,0,2,00:11:25,00:00:35,00:00:14,8,DAL,miss,,,,,,,,,,Dennis Smith Jr.,0,,,missed,,Alley Oop Dunk,2,-8,15,25.8,6.5,MISS Smith Jr. 2' Alley Oop Dunk
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,0,2,00:11:21,00:00:39,00:00:04,9,LAC,rebound,,,,,,,,,,Danilo Gallinari,,,,,,rebound defensive,,,,,,Gallinari REBOUND (Off:0 Def:1)
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,0,5,00:11:11,00:00:49,00:00:10,11,LAC,shot,Danilo Gallinari,,,,,,,,,Milos Teodosic,3,,,made,,Jump Shot,24,236,46,48.6,84.4,Teodosic 24' 3PT Jump Shot (3 PTS) (Gallinari 1 AST)
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,2,5,00:10:57,00:01:03,00:00:14,13,DAL,shot,,,,,,,,,,Dennis Smith Jr.,2,,,made,,unknown,2,-16,7,26.6,5.7,Smith Jr. 2' Driving Layup (2 PTS)
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,2,5,00:10:46,00:01:14,00:00:11,14,LAC,miss,,,,,,,,,,Milos Teodosic,0,,,missed,,Jump Shot,27,203,176,45.3,71.4,MISS Teodosic 27' 3PT Jump Shot
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,2,5,00:10:43,00:01:17,00:00:03,15,DAL,rebound,,,,,,,,,,Yogi Ferrell,,,,,,rebound defensive,,,,,,Ferrell REBOUND (Off:0 Def:1)
"=""0021700796""",2017-2018 Regular Season,2018-02-05,Wesley Matthews,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Milos Teodosic,1,2,5,00:10:27,00:01:33,00:00:16,16,DAL,turnover,,,,,,,,,,Wesley Matthews,,,bad pass ,,Avery Bradley,bad pass ,,,,,,"Matthews Bad Pass Turnover (P1.T1), Bradley STEAL (1 STL)"
