game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,0:12:00,0:00:00,0:00:00,4,LAC,jump ball,,DeAndre Jordan,Andre Drummond,,,,,,,Andre Drummond,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Drummond vs. Jordan: Tip to Harris
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,0:11:42,0:00:18,0:00:18,7,LAC,miss,,,,,,,,,,Danilo Gallinari,0,,,missed,,Pullup Jump Shot,21,126,166,12.4,21.6,MISS Gallinari 21' Pullup Jump Shot
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,0:11:35,0:00:25,0:00:07,8,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound offensive,,,,,,Jordan REBOUND (Off:1 Def:0)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,0:11:35,0:00:25,0:00:00,9,LAC,miss,,,,,,,,,,DeAndre Jordan,0,,,missed,,unknown,1,0,-6,25,4.4,MISS Jordan 1' Tip Layup Shot
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,0:11:34,0:00:26,0:00:01,10,DET,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound defensive,,,,,,Griffin REBOUND (Off:0 Def:1)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,2,0:11:31,0:00:29,0:00:03,11,DET,shot,,,,,,,,,,Ish Smith,2,,,made,,unknown,8,-50,57,20,83.3,Smith 8' Driving Floating Jump Shot (2 PTS)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,2,0:11:19,0:00:41,0:00:12,12,LAC,miss,,,,,,,,,,Danilo Gallinari,0,,,missed,,Jump Shot,25,-209,134,45.9,18.4,MISS Gallinari 25' 3PT Jump Shot
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,2,0:11:19,0:00:41,0:00:00,13,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,2,0:11:08,0:00:52,0:00:11,14,DET,miss,,,,,,,,,,Blake Griffin,0,,,missed,,unknown,6,58,1,30.8,88.9,MISS Griffin 6' Driving Layup
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,2,0:11:05,0:00:55,0:00:03,15,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound offensive,,,,,,Drummond REBOUND (Off:1 Def:1)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,2,0:10:59,0:01:01,0:00:06,16,DET,miss,,,,,,,,,,Blake Griffin,0,,,missed,,Jump Shot,24,218,106,46.8,78.4,MISS Griffin 24' 3PT Jump Shot
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,0,2,0:10:56,0:01:04,0:00:03,17,LAC,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,2,2,0:10:44,0:01:16,0:00:12,18,LAC,shot,Austin Rivers,,,,,,,,,Tobias Harris,2,,,made,,unknown,1,-10,6,26,5.6,Harris 1' Driving Dunk (2 PTS) (Rivers 1 AST)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,2,2,0:10:20,0:01:40,0:00:24,20,DET,miss,,,,,,,,,,Blake Griffin,0,,,missed,,Pullup Jump Shot,16,125,92,37.5,79.8,MISS Griffin 16' Pullup Jump Shot
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,2,2,0:10:16,0:01:44,0:00:04,21,LAC,rebound,,,,,,,,,,Avery Bradley,,,,,,rebound defensive,,,,,,Bradley REBOUND (Off:0 Def:1)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,4,2,0:10:11,0:01:49,0:00:05,22,LAC,shot,,,,,,,,,,Avery Bradley,2,,,made,,Driving Reverse Layup,2,14,6,23.6,5.6,Bradley 2' Driving Reverse Layup (2 PTS)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,4,2,0:10:00,0:02:00,0:00:11,23,LAC,foul,,,,,,,,Blake Griffin,,DeAndre Jordan,,,p.foul,,,p.foul,,,,,,Jordan P.FOUL (P1.T1) (M.Callahan)
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,4,2,0:09:45,0:02:15,0:00:15,25,DET,miss,,,,,,,,,,Reggie Bullock,0,,,missed,,Jump Shot,24,235,-17,48.5,90.7,MISS Bullock 24' 3PT Jump Shot
0021700817,2017-2018 Regular Season,2/9/2018,Tobias Harris,Danilo Gallinari,DeAndre Jordan,Avery Bradley,Austin Rivers,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Ish Smith,1,4,2,0:09:41,0:02:19,0:00:04,26,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:1 Def:1)
