game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Myles Turner,Aron Baynes,,,,,,,Aron Baynes,,Kyrie Irving,,,,jump ball,,,,,,Jump Ball Baynes vs. Turner: Tip to Irving
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:32,00:00:28,00:00:28,7,BOS,miss,,,,,,,,,,Jaylen Brown,0,,,missed,,Jump Shot,26,-126,225,12.4,66.5,MISS Brown 26' 3PT Jump Shot
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:28,00:00:32,00:00:04,8,IND,rebound,,,,,,,,,,Bojan Bogdanovic,,,,,,rebound defensive,,,,,,Bogdanovic REBOUND (Off:0 Def:1)
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:16,00:00:44,00:00:12,9,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Jump Shot,18,70,163,18.0,21.3,MISS Turner 18' Jump Shot
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:12,00:00:48,00:00:04,10,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:03,00:00:57,00:00:09,11,BOS,miss,,,,,,,,,,Aron Baynes,0,,,missed,,Hook Shot,5,13,48,26.3,84.2,MISS Baynes 5' Hook Shot
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:02,00:00:58,00:00:01,12,BOS,rebound,,,,,,,,,,Aron Baynes,,,,,,rebound offensive,,,,,,Baynes REBOUND (Off:1 Def:0)
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:02,00:00:58,00:00:00,20,BOS,miss,,,,,,,,,,Aron Baynes,0,,,missed,,unknown,2,-1,17,24.9,87.3,MISS Baynes 2' Tip Layup Shot
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:01,00:00:59,00:00:01,21,BOS,rebound,,,,,,,,,,Aron Baynes,,,,,,rebound offensive,,,,,,Baynes REBOUND (Off:2 Def:0)
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:10:49,00:01:11,00:00:12,13,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,unknown,3,31,-3,28.1,89.3,MISS Irving 3' Driving Layup
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:10:49,00:01:11,00:00:00,14,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Pacers Rebound
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:10:49,00:01:11,00:00:00,15,BOS,foul,,,,,,,,Myles Turner,,Aron Baynes,,,l.b.foul,,,l.b.foul,,,,,,Baynes L.B.FOUL (P1.T1) (C.Kirkland)
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:10:36,00:01:24,00:00:13,17,BOS,foul,,,,,,,,Victor Oladipo,,Jaylen Brown,,,s.foul,,,s.foul,,,,,,Brown S.FOUL (P1.T2) (C.Kirkland)
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,1,0,00:10:36,00:01:24,00:00:00,19,IND,free throw,,,,,,,1,,2,Victor Oladipo,1,,,made,,Free Throw 1 of 2,,,,,,Oladipo Free Throw 1 of 2 (1 PTS)
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:10:36,00:01:24,00:00:00,22,IND,free throw,,,,,,,2,,2,Victor Oladipo,1,,,made,,Free Throw 2 of 2,,,,,,Oladipo Free Throw 2 of 2 (2 PTS)
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:10:12,00:01:48,00:00:24,23,BOS,miss,,,,,,,,,,Jayson Tatum,0,,,missed,,Driving Finger Roll Layup,1,10,5,26.0,88.5,MISS Tatum 1' Driving Finger Roll Layup
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:10:12,00:01:48,00:00:00,24,IND,rebound,,,,,,,,,,Victor Oladipo,,,,,,rebound defensive,,,,,,Oladipo REBOUND (Off:0 Def:1)
"=""0021700820""",2017-2018 Regular Season,2018-02-09,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Cory Joseph,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:10:08,00:01:52,00:00:04,25,IND,turnover,,,,,,,,,,Victor Oladipo,,,traveling ,,,traveling ,,,,,,Oladipo Traveling Turnover (P1.T1)
