game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Jonas Valanciunas,Dwight Howard,,,,,,,Dwight Howard,,Kemba Walker,,,,jump ball,,,,,,Jump Ball Howard vs. Valanciunas: Tip to Walker
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,2,00:11:51,00:00:09,00:00:09,7,CHA,shot,Kemba Walker,,,,,,,,,Dwight Howard,2,,,made,,Alley Oop Dunk,1,-6,11,24.4,87.9,Howard 1' Alley Oop Dunk (2 PTS) (Walker 1 AST)
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,2,00:11:24,00:00:36,00:00:27,9,TOR,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Fadeaway Jumper,15,-124,84,37.4,13.4,MISS DeRozan 15' Fadeaway Jumper
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,2,00:11:20,00:00:40,00:00:04,10,CHA,rebound,,,,,,,,,,Dwight Howard,,,,,,rebound defensive,,,,,,Howard REBOUND (Off:0 Def:1)
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,5,00:11:15,00:00:45,00:00:05,11,CHA,shot,Nicolas Batum,,,,,,,,,Kemba Walker,3,,,made,,Pullup Jump Shot,26,75,252,32.5,63.8,Walker 26' 3PT Pullup Jump Shot (3 PTS) (Batum 1 AST)
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,5,00:10:51,00:01:09,00:00:24,13,TOR,miss,,,,,,,,,,Kyle Lowry,0,,,missed,,Jump Shot,23,-222,73,47.2,12.3,MISS Lowry  3PT Jump Shot
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,5,00:10:48,00:01:12,00:00:03,14,CHA,rebound,,,,,,,,,,Dwight Howard,,,,,,rebound defensive,,,,,,Howard REBOUND (Off:0 Def:2)
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,8,00:10:40,00:01:20,00:00:08,15,CHA,shot,,,,,,,,,,Kemba Walker,3,,,made,,Jump Shot,25,233,90,48.3,80.0,Walker 25' 3PT Jump Shot (6 PTS)
"=""0021700833""",2017-2018 Regular Season,2018-02-11,OG Anunoby,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,8,00:10:29,00:01:31,00:00:11,16,CHA,foul,,,,,,,,Kyle Lowry,,Nicolas Batum,,,p.foul,,,p.foul,,,,,,Batum P.FOUL (P1.T1) (D.Richardson)
