game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,0,0,0:12:00,0:00:00,0:00:00,4,,jump ball,,Marc Gasol,Steven Adams,,,,,,,Steven Adams,,,,,,jump ball,,,,,,Jump Ball Adams vs. Gasol: Tip to
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,2,0,0:11:46,0:00:14,0:00:14,7,MEM,shot,Dillon Brooks,,,,,,,,,JaMychal Green,2,,,made,,unknown,1,-13,-1,26.3,4.9,Green 1' Cutting Layup Shot (2 PTS) (Brooks 1 AST)
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,2,0,0:11:30,0:00:30,0:00:16,9,OKC,miss,,,,Andrew Harrison,,,,,,Steven Adams,0,,,missed,,unknown,2,-18,6,23.2,88.4,"Harrison BLOCK (1 BLK), MISS Adams 2' Cutting Layup Shot"
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,2,0,0:11:29,0:00:31,0:00:01,11,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:1 Def:0)
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,2,0,0:11:29,0:00:31,0:00:00,56,OKC,miss,,,,JaMychal Green,,,,,,Steven Adams,0,,,missed,,Putback Layup,2,1,19,25.1,87.1,"Green BLOCK (1 BLK), MISS Adams 2' Putback Layup"
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,2,0,0:11:27,0:00:33,0:00:02,58,MEM,rebound,,,,,,,,,,Andrew Harrison,,,,,,rebound defensive,,,,,,Harrison REBOUND (Off:0 Def:1)
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,2,0,0:11:02,0:00:58,0:00:25,12,MEM,miss,,,,,,,,,,JaMychal Green,0,,,missed,,Jump Shot,28,-133,252,38.3,30.2,MISS Green 28' 3PT Jump Shot
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,2,0,0:11:00,0:01:00,0:00:02,13,OKC,rebound,,,,,,,,,,Raymond Felton,,,,,,rebound defensive,,,,,,Felton REBOUND (Off:0 Def:1)
21700839,2017-2018 Regular Season,2/11/2018,Dillon Brooks,JaMychal Green,Marc Gasol,Tyreke Evans,Andrew Harrison,Paul George,Patrick Patterson,Steven Adams,Alex Abrines,Raymond Felton,1,2,0,0:10:55,0:01:05,0:00:05,14,OKC,turnover,,,,,,,,,,Paul George,,,bad pass ,,JaMychal Green,bad pass ,,,,,,"Green STEAL (1 STL), George Bad Pass Turnover (P1.T1)"
