game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Bismack Biyombo,Robin Lopez,,,,,,,Robin Lopez,,Jerian Grant,,,,jump ball,,,,,,Jump Ball Lopez vs. Biyombo: Tip to Grant
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,2,00:11:37,00:00:23,00:00:23,7,CHI,shot,,,,,,,,,,Lauri Markkanen,2,,,made,,Pullup Jump Shot,17,171,-18,42.1,90.8,Markkanen 17' Pullup Jump Shot (2 PTS)
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,2,00:11:14,00:00:46,00:00:23,8,ORL,miss,,,,,,,,,,Mario Hezonja,0,,,missed,,unknown,2,13,11,23.7,6.1,MISS Hezonja 2' Driving Layup
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,2,00:11:12,00:00:48,00:00:02,9,CHI,rebound,,,,,,,,,,Zach LaVine,,,,,,rebound defensive,,,,,,LaVine REBOUND (Off:0 Def:1)
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,2,00:11:08,00:00:52,00:00:04,10,CHI,miss,,,,Bismack Biyombo,,,,,,Zach LaVine,0,,,missed,,Running Layup,1,-4,6,24.6,88.4,"Biyombo BLOCK (1 BLK), MISS LaVine 1' Running Layup"
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,2,00:11:08,00:00:52,00:00:00,12,ORL,rebound,,,,,,,,,,Evan Fournier,,,,,,rebound defensive,,,,,,Fournier REBOUND (Off:0 Def:1)
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,2,00:10:50,00:01:10,00:00:18,13,ORL,miss,,,,,,,,,,Mario Hezonja,0,,,missed,,Turnaround Jump Shot,9,-18,90,26.8,14.0,MISS Hezonja 9' Turnaround Jump Shot
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,2,00:10:48,00:01:12,00:00:02,14,CHI,rebound,,,,,,,,,,Zach LaVine,,,,,,rebound defensive,,,,,,LaVine REBOUND (Off:0 Def:2)
"=""0021700844""",2017-2018 Regular Season,2018-02-12,Jonathon Simmons,Mario Hezonja,Bismack Biyombo,Evan Fournier,D.J. Augustin,Justin Holiday,Lauri Markkanen,Robin Lopez,Zach LaVine,Jerian Grant,1,0,2,00:10:33,00:01:27,00:00:15,15,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,25,-89,236,16.1,65.4,MISS Markkanen 25' 3PT Jump Shot
