game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Dewayne Dedmon,Thon Maker,,,,,,,Thon Maker,,Dennis Schroder,,,,jump ball,,,,,,Jump Ball Maker vs. Dedmon: Tip to Schroder
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,0,0,00:11:44,00:00:16,00:00:16,7,ATL,miss,,,,,,,,,,Ersan Ilyasova,0,,,missed,,Jump Shot,26,-2,259,25.2,30.9,MISS Ilyasova 26' 3PT Jump Shot
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,0,0,00:11:39,00:00:21,00:00:05,8,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound defensive,,,,,,Bledsoe REBOUND (Off:0 Def:1)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,0,0,00:11:31,00:00:29,00:00:08,9,MIL,turnover,,,,,,,,,,Khris Middleton,,,,,,unknown,,,,,,Middleton Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,2,0,00:11:14,00:00:46,00:00:17,10,ATL,shot,Dennis Schroder,,,,,,,,,Kent Bazemore,2,,,made,,Jump Shot,21,-144,153,39.4,20.3,Bazemore 21' Jump Shot (2 PTS) (Schroder 1 AST)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,2,3,00:11:01,00:00:59,00:00:13,12,MIL,shot,Eric Bledsoe,,,,,,,,,Tony Snell,3,,,made,,Jump Shot,25,-226,109,2.4,78.1,Snell 25' 3PT Jump Shot (3 PTS) (Bledsoe 1 AST)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,2,3,00:10:43,00:01:17,00:00:18,14,ATL,turnover,,,,,,,,,,Taurean Prince,,,,,,unknown,,,,,,Prince Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,2,3,00:10:27,00:01:33,00:00:16,15,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Jump Shot,14,-71,121,17.9,76.9,MISS Antetokounmpo 14' Jump Shot
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,2,3,00:10:25,00:01:35,00:00:02,16,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,4,3,00:10:12,00:01:48,00:00:13,18,ATL,shot,Kent Bazemore,,,,,,,,,Dennis Schroder,2,,,made,,Jump Shot,16,157,34,9.3,8.4,Schroder 16' Jump Shot (2 PTS) (Bazemore 1 AST)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,4,3,00:09:51,00:02:09,00:00:21,20,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,25,-225,104,2.5,78.6,MISS Bledsoe 25' 3PT Jump Shot
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,4,3,00:09:48,00:02:12,00:00:03,21,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:2)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,7,3,00:09:37,00:02:23,00:00:11,22,ATL,shot,Kent Bazemore,,,,,,,,,Dennis Schroder,3,,,made,,Jump Shot,24,230,69,2.0,11.9,Schroder 24' 3PT Jump Shot (5 PTS) (Bazemore 2 AST)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,7,3,00:09:27,00:02:33,00:00:10,24,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,17,-9,169,24.1,72.1,MISS Bledsoe 17' Jump Shot
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,7,3,00:09:25,00:02:35,00:00:02,25,ATL,rebound,,,,,,,,,,Taurean Prince,,,,,,rebound defensive,,,,,,Prince REBOUND (Off:0 Def:1)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,9,3,00:09:22,00:02:38,00:00:03,26,ATL,shot,Dennis Schroder,,,,,,,,,Kent Bazemore,2,,,made,,unknown,1,2,10,24.8,6.0,Bazemore 1' Running Alley Oop Layup Shot (4 PTS) (Schroder 2 AST)
"=""0021700848""",2017-2018 Regular Season,2018-02-13,Taurean Prince,Ersan Ilyasova,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Thon Maker,Tony Snell,Eric Bledsoe,1,9,3,00:09:03,00:02:57,00:00:19,28,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,unknown,8,79,14,32.9,87.6,MISS Middleton 8' Driving Floating Jump Shot
