game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Pau Gasol,Nikola Jokic,,,,,,,Nikola Jokic,,Danny Green,,,,jump ball,,,,,,Jump Ball Jokic vs. Gasol: Tip to Green
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:48,00:00:12,00:00:12,7,SAS,foul,,,,,,,,Jamal Murray,,Kyle Anderson,,,off.foul,,,off.foul,,,,,,Anderson OFF.Foul (P1) (T.Washington)
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:48,00:00:12,00:00:00,9,SAS,turnover,,,,,,,,,,Kyle Anderson,,,offensive foul turnover,,,offensive foul turnover,,,,,,Anderson Offensive Foul Turnover (P1.T1)
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:11:36,00:00:24,00:00:12,10,DEN,shot,Wilson Chandler,,,,,,,,,Nikola Jokic,2,,,made,,Jump Shot,15,-149,-1,10.1,89.1,Jokic 15' Jump Shot (2 PTS) (Chandler 1 AST)
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,3,2,00:11:24,00:00:36,00:00:12,12,SAS,shot,Pau Gasol,,,,,,,,,Davis Bertans,3,,,made,,Jump Shot,25,177,179,7.3,22.9,Bertans 25' 3PT Jump Shot (3 PTS) (Gasol 1 AST)
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,3,2,00:11:06,00:00:54,00:00:18,14,SAS,foul,,,,,,,,Jamal Murray,,Dejounte Murray,,,s.foul,,,s.foul,,,,,,Murray S.FOUL (P1.T1) (J.Orr)
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,3,3,00:11:06,00:00:54,00:00:00,16,DEN,free throw,,,,,,,1,,3,Jamal Murray,1,,,made,,Free Throw 1 of 3,,,,,,Murray Free Throw 1 of 3 (1 PTS)
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:11:06,00:00:54,00:00:00,17,DEN,free throw,,,,,,,2,,3,Jamal Murray,1,,,made,,Free Throw 2 of 3,,,,,,Murray Free Throw 2 of 3 (2 PTS)
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:11:06,00:00:54,00:00:00,18,DEN,free throw,,,,,,,3,,3,Jamal Murray,0,,,missed,,Free Throw 3 of 3,,,,,,MISS Murray Free Throw 3 of 3
"=""0021700852""",2017-2018 Regular Season,2018-02-13,Kyle Anderson,Pau Gasol,Davis Bertans,Danny Green,Dejounte Murray,Will Barton,Wilson Chandler,Nikola Jokic,Gary Harris,Jamal Murray,1,3,4,00:11:04,00:00:56,00:00:02,19,SAS,rebound,,,,,,,,,,Pau Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
