game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Marcin Gortat,Enes Kanter,,,,,,,Enes Kanter,,Markieff Morris,,,,jump ball,,,,,,Jump Ball Kanter vs. Gortat: Tip to Mark Morris
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:11:45,00:00:15,00:00:15,7,WAS,miss,,,,,,,,,,Marcin Gortat,0,,,missed,,Hook Shot,3,-26,22,27.6,7.2,MISS Gortat 3' Hook Shot
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:11:44,00:00:16,00:00:01,8,NYK,rebound,,,,,,,,,,Michael Beasley,,,,,,rebound defensive,,,,,,Beasley REBOUND (Off:0 Def:1)
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:11:31,00:00:29,00:00:13,9,NYK,miss,,,,,,,,,,Michael Beasley,0,,,missed,,unknown,5,42,34,29.2,85.6,MISS Beasley 5' Driving Layup
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:11:30,00:00:30,00:00:01,10,WAS,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:0 Def:1)
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,2,0,00:11:24,00:00:36,00:00:06,11,WAS,shot,Tomas Satoransky,,,,,,,,,Markieff Morris,2,,,made,,Floating Jump Shot,12,-18,116,26.8,16.6,Mark Morris 12' Floating Jump Shot (2 PTS) (Satoransky 1 AST)
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,2,3,00:11:05,00:00:55,00:00:19,13,NYK,shot,Jarrett Jack,,,,,,,,,Tim Hardaway Jr.,3,,,made,,Jump Shot,23,230,-4,48.0,89.4,Hardaway Jr.  3PT Jump Shot (3 PTS) (Jack 1 AST)
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,2,3,00:10:48,00:01:12,00:00:17,15,WAS,miss,,,,,,,,,,Otto Porter Jr.,0,,,missed,,Fadeaway Jumper,19,-18,190,26.8,24.0,MISS Porter Jr. 19' Fadeaway Jumper
"=""0021700857""",2017-2018 Regular Season,2018-02-14,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Tomas Satoransky,Bradley Beal,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Jarrett Jack,1,2,3,00:10:46,00:01:14,00:00:02,16,NYK,rebound,,,,,,,,,,Tim Hardaway Jr.,,,,,,rebound defensive,,,,,,Hardaway Jr. REBOUND (Off:0 Def:1)
