game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Enes Kanter,Nikola Vucevic,,,,,,,Nikola Vucevic,,Emmanuel Mudiay,,,,jump ball,,,,,,Jump Ball Vucevic vs. Kanter: Tip to Mudiay
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:39,00:00:21,00:00:21,7,NYK,shot,,,,,,,,,,Courtney Lee,2,,,made,,Driving Finger Roll Layup,3,-7,26,25.7,7.6,Lee 3' Driving Finger Roll Layup (2 PTS)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,2,00:11:25,00:00:35,00:00:14,8,ORL,shot,Aaron Gordon,,,,,,,,,Jonathon Simmons,2,,,made,,unknown,2,-5,19,24.5,87.1,Simmons 2' Cutting Layup Shot (2 PTS) (Gordon 1 AST)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,2,00:11:11,00:00:49,00:00:14,11,NYK,turnover,,,,,,,,,,Emmanuel Mudiay,,,bad pass ,,Nikola Vucevic,bad pass ,,,,,,"Mudiay Bad Pass Turnover (P1.T1), Vucevic STEAL (1 STL)"
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,4,00:11:06,00:00:54,00:00:05,13,ORL,shot,Jonathon Simmons,,,,,,,,,Nikola Vucevic,2,,,made,,Running Layup,1,0,9,25.0,88.1,Vucevic 1' Running Layup (2 PTS) (Simmons 1 AST)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,4,00:10:54,00:01:06,00:00:12,15,NYK,miss,,,,,,,,,,Emmanuel Mudiay,0,,,missed,,Pullup Jump Shot,18,-88,160,33.8,21.0,MISS Mudiay 18' Pullup Jump Shot
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,4,00:10:51,00:01:09,00:00:03,16,NYK,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound offensive,,,,,,Kanter REBOUND (Off:1 Def:0)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,4,4,00:10:50,00:01:10,00:00:01,17,NYK,shot,,,,,,,,,,Enes Kanter,2,,,made,,Putback Layup,2,-7,17,25.7,6.7,Kanter 2' Putback Layup (2 PTS)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,4,6,00:10:31,00:01:29,00:00:19,18,ORL,shot,Evan Fournier,,,,,,,,,Nikola Vucevic,2,,,made,,unknown,0,-2,4,24.8,88.6,Vucevic  Cutting Dunk Shot (4 PTS) (Fournier 1 AST)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,4,6,00:10:17,00:01:43,00:00:14,20,ORL,foul,,,,,,,,Michael Beasley,,Jonathon Simmons,,,s.foul,,,s.foul,,,,,,Simmons S.FOUL (P1.T1) (K.Mauer)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,6,00:10:17,00:01:43,00:00:00,22,NYK,free throw,,,,,,,1,,2,Michael Beasley,1,,,made,,Free Throw 1 of 2,,,,,,Beasley Free Throw 1 of 2 (1 PTS)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,6,6,00:10:17,00:01:43,00:00:00,23,NYK,free throw,,,,,,,2,,2,Michael Beasley,1,,,made,,Free Throw 2 of 2,,,,,,Beasley Free Throw 2 of 2 (2 PTS)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,6,6,00:10:06,00:01:54,00:00:11,24,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,unknown,2,-3,19,24.7,87.1,MISS Gordon 2' Cutting Layup Shot
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,6,6,00:10:03,00:01:57,00:00:03,25,NYK,rebound,,,,,,,,,,Michael Beasley,,,,,,rebound defensive,,,,,,Beasley REBOUND (Off:0 Def:1)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,9,6,00:10:00,00:02:00,00:00:03,26,NYK,shot,Tim Hardaway Jr.,,,,,,,,,Courtney Lee,3,,,made,,Jump Shot,23,-230,27,48.0,7.7,Lee  3PT Jump Shot (5 PTS) (Hardaway Jr. 1 AST)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,9,6,00:09:48,00:02:12,00:00:12,28,NYK,foul,,,,,,,,D.J. Augustin,,Emmanuel Mudiay,,,s.foul,,,s.foul,,,,,,Mudiay S.FOUL (P1.T1) (B.Adams)
"=""0021700868""",2017-2018 Regular Season,2018-02-22,Tim Hardaway Jr.,Michael Beasley,Enes Kanter,Courtney Lee,Emmanuel Mudiay,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,9,7,00:09:48,00:02:12,00:00:00,30,ORL,free throw,,,,,,,1,,2,D.J. Augustin,1,,,made,,Free Throw 1 of 2,,,,,,Augustin Free Throw 1 of 2 (1 PTS)
