game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,DeAndre Jordan,Alex Len,,,,,,,Alex Len,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Len vs. Jordan: Tip to Harris
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,0,0,00:11:43,00:00:17,00:00:17,7,LAC,miss,,,,,,,,,,Tyrone Wallace,0,,,missed,,Pullup Jump Shot,7,46,48,20.4,9.8,MISS Wallace 7' Pullup Jump Shot
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,0,0,00:11:41,00:00:19,00:00:02,8,PHX,rebound,,,,,,,,,,Alex Len,,,,,,rebound defensive,,,,,,Len REBOUND (Off:0 Def:1)
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,0,0,00:11:30,00:00:30,00:00:11,9,PHX,turnover,,,,,,,,,,Dragan Bender,,,bad pass ,,Wesley Johnson,bad pass ,,,,,,"W. Johnson STEAL (1 STL), Bender Bad Pass Turnover (P1.T1)"
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,3,0,00:11:22,00:00:38,00:00:08,11,LAC,shot,Tobias Harris,,,,,,,,,Austin Rivers,3,,,made,,Jump Shot,25,206,142,4.4,19.2,Rivers 25' 3PT Jump Shot (3 PTS) (Harris 1 AST)
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,3,0,00:11:03,00:00:57,00:00:19,12,PHX,miss,,,,,,,,,,TJ Warren,0,,,missed,,Jump Shot,20,-195,12,5.5,87.8,MISS Warren 20' Jump Shot
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,3,0,00:11:00,00:01:00,00:00:03,13,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,3,0,00:10:58,00:01:02,00:00:02,14,PHX,foul,,,,,,,,Tyrone Wallace,,Alex Len,,,s.foul,,,s.foul,,,,,,Len S.FOUL (P1.T1) (J.Sterling)
"=""0021700881""",2017-2018 Regular Season,2018-02-23,Tobias Harris,Wesley Johnson,DeAndre Jordan,Tyrone Wallace,Austin Rivers,TJ Warren,Dragan Bender,Alex Len,Devin Booker,Elfrid Payton,1,3,0,00:10:58,00:01:02,00:00:00,16,LAC,free throw,,,,,,,1,,2,Tyrone Wallace,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Wallace Free Throw 1 of 2
