game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Jusuf Nurkic,Rudy Gobert,,,,,,,Rudy Gobert,,Damian Lillard,,,,jump ball,,,,,,Jump Ball Gobert vs. Nurkic: Tip to Lillard
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,0,00:11:47,00:00:13,00:00:13,7,POR,shot,Jusuf Nurkic,,,,,,,,,Al-Farouq Aminu,3,,,made,,Jump Shot,26,123,233,12.7,28.3,Aminu 26' 3PT Jump Shot (3 PTS) (Nurkic 1 AST)
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,2,00:11:30,00:00:30,00:00:17,9,UTA,shot,,,,,,,,,,Rudy Gobert,2,,,made,,unknown,2,-14,10,23.6,88.0,Gobert 2' Driving Dunk (2 PTS)
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,2,00:11:06,00:00:54,00:00:24,12,POR,shot,,,,,,,,,,CJ McCollum,3,,,made,,Pullup Jump Shot,25,119,223,13.1,27.3,McCollum 25' 3PT Pullup Jump Shot (3 PTS)
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,2,00:10:48,00:01:12,00:00:18,13,UTA,turnover,,,,,,,,,,Donovan Mitchell,,,lost ball ,,Maurice Harkless,lost ball ,,,,,,"Harkless STEAL (1 STL), Mitchell Lost Ball Turnover (P1.T1)"
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,2,00:10:44,00:01:16,00:00:04,15,POR,turnover,,,,,,,,,,Maurice Harkless,,,traveling ,,,traveling ,,,,,,Harkless Traveling Turnover (P1.T1)
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,4,00:10:26,00:01:34,00:00:18,16,UTA,shot,Derrick Favors,,,,,,,,,Rudy Gobert,2,,,made,,Dunk,1,6,4,25.6,88.6,Gobert 1' Dunk (4 PTS) (Favors 1 AST)
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,4,00:10:12,00:01:48,00:00:14,18,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Floating Jump Shot,12,-13,118,26.3,16.8,MISS Nurkic 12' Floating Jump Shot
"=""0021700882""",2017-2018 Regular Season,2018-02-23,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,6,4,00:10:03,00:01:57,00:00:09,19,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound offensive,,,,,,Aminu REBOUND (Off:1 Def:0)
