game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Marc Gasol,Aron Baynes,,,,,,,Aron Baynes,,Al Horford,,,,jump ball,,,,,,Jump Ball Baynes vs. Gasol: Tip to Horford
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:41,00:00:19,00:00:19,7,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Pullup Jump Shot,12,63,106,31.3,78.4,MISS Irving 12' Pullup Jump Shot
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:39,00:00:21,00:00:02,8,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:11:20,00:00:40,00:00:19,9,MEM,shot,Jarell Martin,,,,,,,,,Marc Gasol,2,,,made,,Turnaround Fadeaway ,13,78,109,17.2,15.9,Gasol 13' Turnaround Fadeaway (2 PTS) (Martin 1 AST)
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:11:06,00:00:54,00:00:14,11,BOS,miss,,,,,,,,,,Jaylen Brown,0,,,missed,,Pullup Jump Shot,20,-11,202,23.9,68.8,MISS Brown 20' Pullup Jump Shot
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:11:04,00:00:56,00:00:02,12,MEM,rebound,,,,,,,,,,JaMychal Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,5,0,00:10:53,00:01:07,00:00:11,13,MEM,shot,Jarell Martin,,,,,,,,,Marc Gasol,3,,,made,,Jump Shot,26,33,255,21.7,30.5,Gasol 26' 3PT Jump Shot (5 PTS) (Martin 2 AST)
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,5,0,00:10:35,00:01:25,00:00:18,15,MEM,foul,,,,,,,,Jaylen Brown,,Jarell Martin,,,s.foul,,,s.foul,,,,,,Martin S.FOUL (P1.T1) (S.Twardoski)
"=""0021700898""",2017-2018 Regular Season,2018-02-26,Jarell Martin,JaMychal Green,Marc Gasol,Dillon Brooks,Andrew Harrison,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,5,0,00:10:35,00:01:25,00:00:00,17,BOS,free throw,,,,,,,1,,2,Jaylen Brown,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Brown Free Throw 1 of 2
