game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Cristiano Felicio,Dwight Howard,,,,,,,Dwight Howard,,Kemba Walker,,,,jump ball,,,,,,Jump Ball Howard vs. Felicio: Tip to Walker
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:46,00:00:14,00:00:14,7,CHA,turnover,,,,,,,,,,Kemba Walker,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Walker Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:11:23,00:00:37,00:00:23,8,CHI,shot,Zach LaVine,,,,,,,,,Cristiano Felicio,2,,,made,,Jump Shot,16,-114,115,36.4,16.5,Felicio 16' Jump Shot (2 PTS) (LaVine 1 AST)
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,2,00:11:07,00:00:53,00:00:16,10,CHA,shot,Nicolas Batum,,,,,,,,,Dwight Howard,2,,,made,,Alley Oop Dunk,1,-7,12,24.3,87.8,Howard 1' Alley Oop Dunk (2 PTS) (Batum 1 AST)
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,4,2,00:10:45,00:01:15,00:00:22,12,CHI,shot,Kris Dunn,,,,,,,,,Cristiano Felicio,2,,,made,,Jump Shot,18,-11,182,26.1,23.2,Felicio 18' Jump Shot (4 PTS) (Dunn 1 AST)
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,4,2,00:10:29,00:01:31,00:00:16,23,CHA,miss,,,,Kris Dunn,,,,,,Kemba Walker,0,,,missed,,Layup,4,-43,12,20.7,87.8,"Dunn BLOCK (1 BLK), MISS Walker 4' Layup"
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,4,2,00:10:26,00:01:34,00:00:03,25,CHA,rebound,,,,,,,,,,Dwight Howard,,,,,,rebound offensive,,,,,,Howard REBOUND (Off:1 Def:0)
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,4,4,00:10:22,00:01:38,00:00:04,14,CHA,shot,,,,,,,,,,Dwight Howard,2,,,made,,Dunk,1,9,10,25.9,88.0,Howard 1' Dunk (4 PTS)
"=""0021700907""",2017-2018 Regular Season,2018-02-27,David Nwaba,Lauri Markkanen,Cristiano Felicio,Zach LaVine,Kris Dunn,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,6,4,00:09:55,00:02:05,00:00:27,17,CHI,shot,Zach LaVine,,,,,,,,,Cristiano Felicio,2,,,made,,unknown,1,8,10,24.2,6.0,Felicio 1' Cutting Layup Shot (6 PTS) (LaVine 2 AST)
