game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Jonas Valanciunas,Marcin Gortat,,,,,,,Marcin Gortat,,Tomas Satoransky,,,,jump ball,,,,,,Jump Ball Gortat vs. Valanciunas: Tip to Satoransky
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:11:42,00:00:18,00:00:18,7,WAS,miss,,,,,,,,,,Markieff Morris,0,,,missed,,Jump Shot,14,134,47,38.4,84.3,MISS Mark Morris 14' Jump Shot
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:11:39,00:00:21,00:00:03,8,TOR,rebound,,,,,,,,,,Norman Powell,,,,,,rebound defensive,,,,,,Powell REBOUND (Off:0 Def:1)
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:11:18,00:00:42,00:00:21,9,TOR,miss,,,,,,,,,,Norman Powell,0,,,missed,,Step Back Jump Shot,27,195,184,5.5,23.4,MISS Powell 27' 3PT Step Back Jump Shot
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:11:12,00:00:48,00:00:06,10,WAS,rebound,,,,,,,,,,Markieff Morris,,,,,,rebound defensive,,,,,,Mark Morris REBOUND (Off:0 Def:1)
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,2,00:11:04,00:00:56,00:00:08,11,WAS,shot,,,,,,,,,,Marcin Gortat,2,,,made,,Turnaround Hook Shot,12,-56,109,19.4,78.1,Gortat 12' Turnaround Hook Shot (2 PTS)
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,2,00:11:04,00:00:56,00:00:00,13,TOR,foul,,,,,,,,Marcin Gortat,,Jonas Valanciunas,,,s.foul,,,s.foul,,,,,,Valanciunas S.FOUL (P1.T1) (S.Corbin)
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,3,00:11:04,00:00:56,00:00:00,15,WAS,free throw,,,,,,,1,,1,Marcin Gortat,1,,,made,,Free Throw 1 of 1,,,,,,Gortat Free Throw 1 of 1 (3 PTS)
"=""0021700929""",2017-2018 Regular Season,2018-03-02,Norman Powell,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,3,00:10:46,00:01:14,00:00:18,16,TOR,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Step Back Jump Shot,26,-230,119,48.0,16.9,MISS DeRozan 26' 3PT Step Back Jump Shot
