game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,5,DEN,jump ball,,Nikola Jokic,Marc Gasol,,,,,,,Marc Gasol,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Gasol vs. Jokic: Tip to Murray
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,0,0,00:11:46,00:00:14,00:00:14,8,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,Jump Shot,26,131,221,11.9,27.1,MISS Murray 26' 3PT Jump Shot
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,0,0,00:11:43,00:00:17,00:00:03,9,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound offensive,,,,,,Jokic REBOUND (Off:1 Def:0)
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,0,0,00:11:39,00:00:21,00:00:04,10,DEN,miss,,,,,,,,,,Wilson Chandler,0,,,missed,,Step Back Jump Shot,23,230,-17,2.0,3.3,MISS Chandler  3PT Step Back Jump Shot
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,0,0,00:11:36,00:00:24,00:00:03,11,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,0,0,00:11:26,00:00:34,00:00:10,12,MEM,turnover,,,,,,,,,,Marc Gasol,,,bad pass ,,Jamal Murray,bad pass ,,,,,,"Murray STEAL (1 STL), Gasol Bad Pass Turnover (P1.T1)"
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,2,0,00:11:07,00:00:53,00:00:19,14,DEN,shot,,,,,,,,,,Wilson Chandler,2,,,made,,Jump Shot,18,179,-15,7.1,3.5,Chandler 18' Jump Shot (2 PTS)
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,2,3,00:10:48,00:01:12,00:00:19,15,MEM,shot,Ben McLemore,,,,,,,,,Mario Chalmers,3,,,made,,Jump Shot,24,-238,31,1.2,85.9,Chalmers 24' 3PT Jump Shot (3 PTS) (McLemore 1 AST)
"=""0021700931""",2017-2018 Regular Season,2018-03-02,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Dillon Brooks,Jarell Martin,Marc Gasol,Ben McLemore,Mario Chalmers,1,2,3,00:10:26,00:01:34,00:00:22,17,DEN,turnover,,,,,,,,,,Nikola Jokic,,,lost ball ,,Jarell Martin,lost ball ,,,,,,"Jokic Lost Ball Turnover (P1.T1), Martin STEAL (1 STL)"
