game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Tyson Chandler,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Dennis Schroder,,,,jump ball,,,,,,Jump Ball Dedmon vs. Chandler: Tip to Schroder
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,0,00:11:46,00:00:14,00:00:14,7,ATL,miss,,,,,,,,,,Dennis Schroder,0,,,missed,,Pullup Jump Shot,14,138,2,38.8,88.8,MISS Schroder 14' Pullup Jump Shot
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,0,00:11:42,00:00:18,00:00:04,8,PHX,rebound,,,,,,,,,,TJ Warren,,,,,,rebound defensive,,,,,,Warren REBOUND (Off:0 Def:1)
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,0,00:11:22,00:00:38,00:00:20,9,PHX,miss,,,,,,,,,,Elfrid Payton,0,,,missed,,Pullup Jump Shot,19,-81,172,33.1,22.2,MISS Payton 19' Pullup Jump Shot
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,0,00:11:16,00:00:44,00:00:06,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Suns Rebound
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,0,00:11:08,00:00:52,00:00:08,12,PHX,miss,,,,,,,,,,Dragan Bender,0,,,missed,,Jump Shot,25,-70,242,32.0,29.2,MISS Bender 25' 3PT Jump Shot
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,0,00:11:05,00:00:55,00:00:03,13,ATL,rebound,,,,,,,,,,Tyler Dorsey,,,,,,rebound defensive,,,,,,Dorsey REBOUND (Off:0 Def:1)
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,3,00:10:54,00:01:06,00:00:11,14,ATL,shot,John Collins,,,,,,,,,Taurean Prince,3,,,made,,Jump Shot,26,105,235,35.5,65.5,Prince 26' 3PT Jump Shot (3 PTS) (Collins 1 AST)
"=""0021700943""",2017-2018 Regular Season,2018-03-04,TJ Warren,Dragan Bender,Tyson Chandler,Devin Booker,Elfrid Payton,Taurean Prince,John Collins,Dewayne Dedmon,Tyler Dorsey,Dennis Schroder,1,0,3,00:10:39,00:01:21,00:00:15,16,PHX,turnover,,,,,,,,,,Devin Booker,,,bad pass ,,John Collins,bad pass ,,,,,,"Booker Bad Pass Turnover (P1.T1), Collins STEAL (1 STL)"
