game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Enes Kanter,Kosta Koufos,,,,,,,Kosta Koufos,,Justin Jackson,,,,jump ball,,,,,,Jump Ball Koufos vs. Kanter: Tip to Jackson
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,0,0,00:11:42,00:00:18,00:00:18,7,SAC,miss,,,,,,,,,,Bogdan Bogdanovic,0,,,missed,,Jump Shot,25,-130,214,12.0,67.6,MISS Bogdanovic 25' 3PT Jump Shot
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,0,0,00:11:42,00:00:18,00:00:00,8,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KINGS Rebound
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,0,3,00:11:27,00:00:33,00:00:15,9,SAC,shot,De'Aaron Fox,,,,,,,,,Bogdan Bogdanovic,3,,,made,,Jump Shot,25,-196,155,5.4,73.5,Bogdanovic 25' 3PT Jump Shot (3 PTS) (Fox 1 AST)
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,2,3,00:11:01,00:00:59,00:00:26,11,NYK,shot,,,,,,,,,,Enes Kanter,2,,,made,,Hook Shot,5,3,50,24.7,10.0,Kanter 5' Hook Shot (2 PTS)
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,2,3,00:10:49,00:01:11,00:00:12,12,SAC,miss,,,,,,,,,,Justin Jackson,0,,,missed,,unknown,4,-33,29,21.7,86.1,MISS Jackson 4' Driving Layup
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,2,3,00:10:44,00:01:16,00:00:05,13,SAC,rebound,,,,,,,,,,Kosta Koufos,,,,,,rebound offensive,,,,,,Koufos REBOUND (Off:1 Def:0)
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,2,5,00:10:44,00:01:16,00:00:00,14,SAC,shot,,,,,,,,,,Kosta Koufos,2,,,made,,unknown,1,0,-6,25.0,89.6,Koufos 1' Tip Layup Shot (2 PTS)
"=""0021700949""",2017-2018 Regular Season,2018-03-04,Michael Beasley,Tim Hardaway Jr.,Enes Kanter,Emmanuel Mudiay,Courtney Lee,Justin Jackson,Skal Labissiere,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,1,2,5,00:10:36,00:01:24,00:00:08,15,NYK,miss,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,Jump Shot,24,-192,152,44.2,20.2,MISS Hardaway Jr. 24' 3PT Jump Shot
