game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Dewayne Dedmon,Jonas Valanciunas,,,,,,,Jonas Valanciunas,,Dennis Schroder,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Dedmon: Tip to Schroder
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,3,0,00:11:45,00:00:15,00:00:15,7,ATL,shot,Taurean Prince,,,,,,,,,Kent Bazemore,3,,,made,,Jump Shot,23,228,1,2.2,5.1,Bazemore  3PT Jump Shot (3 PTS) (Prince 1 AST)
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,3,0,00:11:25,00:00:35,00:00:20,9,TOR,turnover,,,,,,,,,,DeMar DeRozan,,,lost ball ,,Kent Bazemore,lost ball ,,,,,,"Bazemore STEAL (1 STL), DeRozan Lost Ball Turnover (P1.T1)"
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,5,0,00:11:22,00:00:38,00:00:03,11,ATL,shot,Kent Bazemore,,,,,,,,,John Collins,2,,,made,,Running Dunk,2,6,20,24.4,7.0,Collins 2' Running Dunk (2 PTS) (Bazemore 1 AST)
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,5,0,00:11:01,00:00:59,00:00:21,13,TOR,miss,,,,,,,,,,Malcolm Miller,0,,,missed,,Jump Shot,25,98,227,34.8,66.3,MISS Miller 25' 3PT Jump Shot
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,5,0,00:10:59,00:01:01,00:00:02,14,TOR,rebound,,,,,,,,,,Serge Ibaka,,,,,,rebound offensive,,,,,,Ibaka REBOUND (Off:1 Def:0)
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,5,2,00:10:53,00:01:07,00:00:06,15,TOR,shot,,,,,,,,,,Jonas Valanciunas,2,,,made,,Turnaround Fadeaway ,6,-54,32,19.6,85.8,Valanciunas 6' Turnaround Fadeaway (2 PTS)
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,5,2,00:10:36,00:01:24,00:00:17,16,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Jump Shot,23,233,2,1.7,5.2,MISS Collins  3PT Jump Shot
"=""0021700958""",2017-2018 Regular Season,2018-03-06,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Malcolm Miller,Serge Ibaka,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,1,5,2,00:10:34,00:01:26,00:00:02,17,TOR,rebound,,,,,,,,,,Serge Ibaka,,,,,,rebound defensive,,,,,,Ibaka REBOUND (Off:1 Def:1)
