game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Nikola Jokic,Dwight Powell,,,,,,,Dwight Powell,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Powell vs. Jokic: Tip to Murray
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,3,0,00:11:46,00:00:14,00:00:14,7,DEN,shot,Paul Millsap,,,,,,,,,Jamal Murray,3,,,made,,Jump Shot,25,76,243,17.4,29.3,Murray 25' 3PT Jump Shot (3 PTS) (Millsap 1 AST)
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,3,3,00:11:29,00:00:31,00:00:17,9,DAL,shot,Dennis Smith Jr.,,,,,,,,,Yogi Ferrell,3,,,made,,Jump Shot,23,234,-9,48.4,89.9,Ferrell  3PT Jump Shot (3 PTS) (Smith Jr. 1 AST)
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,3,3,00:11:11,00:00:49,00:00:18,11,DEN,miss,,,,,,,,,,Paul Millsap,0,,,missed,,Jump Shot,26,13,261,23.7,31.1,MISS Millsap 26' 3PT Jump Shot
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,3,3,00:11:09,00:00:51,00:00:02,12,DAL,rebound,,,,,,,,,,Yogi Ferrell,,,,,,rebound defensive,,,,,,Ferrell REBOUND (Off:0 Def:1)
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,3,6,00:10:54,00:01:06,00:00:15,13,DAL,shot,Dennis Smith Jr.,,,,,,,,,Dirk Nowitzki,3,,,made,,Jump Shot,25,-109,230,14.1,66.0,Nowitzki 25' 3PT Jump Shot (3 PTS) (Smith Jr. 2 AST)
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,5,6,00:10:39,00:01:21,00:00:15,15,DEN,shot,,,,,,,,,,Wilson Chandler,2,,,made,,unknown,3,18,26,23.2,7.6,Chandler 3' Driving Floating Jump Shot (2 PTS)
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,5,6,00:10:22,00:01:38,00:00:17,16,DAL,turnover,,,,,,,,,,Yogi Ferrell,,,bad pass ,,Nikola Jokic,bad pass ,,,,,,"Jokic STEAL (1 STL), Ferrell Bad Pass Turnover (P1.T1)"
"=""0021700961""",2017-2018 Regular Season,2018-03-06,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Yogi Ferrell,Dennis Smith Jr.,1,5,6,00:10:12,00:01:48,00:00:10,18,DEN,miss,,,,,,,,,,Paul Millsap,0,,,missed,,Jump Shot,13,-131,8,38.1,5.8,MISS Millsap 13' Jump Shot
