game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Jarrett Allen,Dwight Howard,,,,,,,Dwight Howard,,Spencer Dinwiddie,,,,jump ball,,,,,,Jump Ball Howard vs. Allen: Tip to Dinwiddie
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:31,00:00:29,00:00:29,7,BKN,miss,,,,,,,,,,Spencer Dinwiddie,0,,,missed,,Pullup Jump Shot,26,190,179,6.0,22.9,MISS Dinwiddie 26' 3PT Pullup Jump Shot
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:28,00:00:32,00:00:03,8,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound offensive,,,,,,Allen REBOUND (Off:1 Def:0)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:11:27,00:00:33,00:00:01,9,BKN,shot,,,,,,,,,,Jarrett Allen,2,,,made,,Putback Layup,2,2,16,24.8,6.6,Allen 2' Putback Layup (2 PTS)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:11:06,00:00:54,00:00:21,10,CHA,miss,,,,,,,,,,Nicolas Batum,0,,,missed,,Pullup Jump Shot,18,-2,182,24.8,70.8,MISS Batum 18' Pullup Jump Shot
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:11:04,00:00:56,00:00:02,11,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:1 Def:1)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:10:59,00:01:01,00:00:05,12,BKN,miss,,,,,,,,,,DeMarre Carroll,0,,,missed,,Jump Shot,25,-136,214,38.6,26.4,MISS Carroll 25' 3PT Jump Shot
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:10:55,00:01:05,00:00:04,13,CHA,rebound,,,,,,,,,,Michael Kidd-Gilchrist,,,,,,rebound defensive,,,,,,Kidd-Gilchrist REBOUND (Off:0 Def:1)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:10:44,00:01:16,00:00:11,14,CHA,miss,,,,,,,,,,Nicolas Batum,0,,,missed,,Fadeaway Jumper,11,70,79,32.0,81.1,MISS Batum 11' Fadeaway Jumper
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:10:42,00:01:18,00:00:02,15,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:1 Def:2)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:10:18,00:01:42,00:00:24,16,BKN,miss,,,,,,,,,,DeMarre Carroll,0,,,missed,,Floating Jump Shot,18,-139,117,38.9,16.7,MISS Carroll 18' Floating Jump Shot
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:10:18,00:01:42,00:00:00,18,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Nets Rebound
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:10:18,00:01:42,00:00:00,17,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,Nets Turnover: Shot Clock (T#1)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,2,00:10:07,00:01:53,00:00:11,19,CHA,shot,,,,,,,,,,Dwight Howard,2,,,made,,Layup,2,3,24,25.3,86.6,Howard 2' Layup (2 PTS)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,2,00:09:52,00:02:08,00:00:15,20,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Jump Shot,29,-136,260,38.6,31.0,MISS Russell 29' 3PT Jump Shot
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,2,00:09:48,00:02:12,00:00:04,21,CHA,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,4,00:09:40,00:02:20,00:00:08,22,CHA,shot,Nicolas Batum,,,,,,,,,Michael Kidd-Gilchrist,2,,,made,,Pullup Jump Shot,13,-20,129,23.0,76.1,Kidd-Gilchrist 13' Pullup Jump Shot (2 PTS) (Batum 1 AST)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,5,4,00:09:30,00:02:30,00:00:10,24,BKN,shot,DeMarre Carroll,,,,,,,,,Allen Crabbe,3,,,made,,Jump Shot,30,98,280,15.2,33.0,Crabbe 30' 3PT Jump Shot (3 PTS) (Carroll 1 AST)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,5,4,00:09:16,00:02:44,00:00:14,26,CHA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,26,98,242,34.8,64.8,MISS Williams 26' 3PT Jump Shot
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,5,4,00:09:13,00:02:47,00:00:03,27,BKN,rebound,,,,,,,,,,Allen Crabbe,,,,,,rebound defensive,,,,,,Crabbe REBOUND (Off:0 Def:1)
"=""0021700972""",2017-2018 Regular Season,2018-03-08,Allen Crabbe,DeMarre Carroll,Jarrett Allen,D'Angelo Russell,Spencer Dinwiddie,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,7,4,00:09:02,00:02:58,00:00:11,28,BKN,shot,D'Angelo Russell,,,,,,,,,Allen Crabbe,2,,,made,,unknown,1,-1,11,25.1,6.1,Crabbe 1' Driving Layup (5 PTS) (Russell 1 AST)
