game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,JaVale McGee,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Damian Lillard,,,,jump ball,,,,,,Jump Ball Nurkic vs. McGee: Tip to Lillard
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:35,00:00:25,00:00:25,7,POR,shot,,,,,,,,,,Damian Lillard,2,,,made,,Step Back Jump Shot,16,78,139,32.8,75.1,Lillard 16' Step Back Jump Shot (2 PTS)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:16,00:00:44,00:00:19,8,GSW,miss,,,,,,,,,,JaVale McGee,0,,,missed,,Alley Oop Layup,2,9,16,24.1,6.6,MISS McGee 2' Alley Oop Layup
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:14,00:00:46,00:00:02,9,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:0 Def:1)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,4,00:11:09,00:00:51,00:00:05,10,POR,shot,Damian Lillard,,,,,,,,,Jusuf Nurkic,2,,,made,,Driving Finger Roll Layup,1,-12,-6,23.8,89.6,Nurkic 1' Driving Finger Roll Layup (2 PTS) (Lillard 1 AST)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,4,00:11:03,00:00:57,00:00:06,12,GSW,turnover,,,,,,,,,,Klay Thompson,,,step out of bounds turnover,,,step out of bounds turnover,,,,,,Thompson Step Out of Bounds Turnover (P1.T1)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,4,00:10:52,00:01:08,00:00:11,13,POR,turnover,,,,,,,,,,Damian Lillard,,,,,,unknown,,,,,,Lillard Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,4,00:10:36,00:01:24,00:00:16,15,POR,foul,,,,,,,,Kevin Durant,,Maurice Harkless,,,s.foul,,,s.foul,,,,,,Harkless S.FOUL (P1.T1) (J.Phillips)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,1,4,00:10:36,00:01:24,00:00:00,17,GSW,free throw,,,,,,,1,,2,Kevin Durant,1,,,made,,Free Throw 1 of 2,,,,,,Durant Free Throw 1 of 2 (1 PTS)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,4,00:10:36,00:01:24,00:00:00,18,GSW,free throw,,,,,,,2,,2,Kevin Durant,1,,,made,,Free Throw 2 of 2,,,,,,Durant Free Throw 2 of 2 (2 PTS)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,4,00:10:22,00:01:38,00:00:14,19,POR,turnover,,,,,,,,,,Al-Farouq Aminu,,,traveling ,,,traveling ,,,,,,Aminu Traveling Turnover (P1.T2)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:13,00:01:47,00:00:09,20,GSW,shot,,,,,,,,,,Quinn Cook,2,,,made,,Step Back Jump Shot,17,-33,164,28.3,21.4,Cook 17' Step Back Jump Shot (2 PTS)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,7,00:09:54,00:02:06,00:00:19,21,POR,shot,,,,,,,,,,Maurice Harkless,3,,,made,,Step Back Jump Shot,25,-185,165,6.5,72.5,Harkless 25' 3PT Step Back Jump Shot (3 PTS)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,7,7,00:09:42,00:02:18,00:00:12,22,GSW,shot,Draymond Green,,,,,,,,,Kevin Durant,3,,,made,,Jump Shot,26,119,231,13.1,28.1,Durant 26' 3PT Jump Shot (5 PTS) (Green 1 AST)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,7,7,00:09:27,00:02:33,00:00:15,24,GSW,foul,,,,,,,,CJ McCollum,,Quinn Cook,,,s.foul,,,s.foul,,,,,,Cook S.FOUL (P1.T1) (S.Twardoski)
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,7,7,00:09:27,00:02:33,00:00:00,26,POR,free throw,,,,,,,1,,2,CJ McCollum,0,,,missed,,Free Throw 1 of 2,,,,,,MISS McCollum Free Throw 1 of 2
"=""0021700984""",2017-2018 Regular Season,2018-03-09,Kevin Durant,Draymond Green,JaVale McGee,Klay Thompson,Quinn Cook,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,7,7,00:09:27,00:02:33,00:00:00,27,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TRAIL BLAZERS Rebound
