game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Robin Lopez,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Isaiah Taylor,,,,jump ball,,,,,,Jump Ball Dedmon vs. Lopez: Tip to Taylor
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,0,00:11:45,00:00:15,00:00:15,7,ATL,miss,,,,Robin Lopez,,,,,,Kent Bazemore,0,,,missed,,unknown,2,-10,20,24.0,87.0,"Lopez BLOCK (1 BLK), MISS Bazemore 2' Driving Layup"
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,0,00:11:41,00:00:19,00:00:04,9,CHI,rebound,,,,,,,,,,Zach LaVine,,,,,,rebound defensive,,,,,,LaVine REBOUND (Off:0 Def:1)
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,0,00:11:38,00:00:22,00:00:03,10,CHI,miss,,,,,,,,,,Zach LaVine,0,,,missed,,Running Layup,1,-8,10,25.8,6.0,MISS LaVine 1' Running Layup
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,0,00:11:38,00:00:22,00:00:00,11,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound offensive,,,,,,Markkanen REBOUND (Off:1 Def:0)
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,0,00:11:38,00:00:22,00:00:00,85,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,unknown,4,28,25,22.2,7.5,MISS Markkanen 4' Tip Layup Shot
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,0,00:11:38,00:00:22,00:00:00,86,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,3,00:11:33,00:00:27,00:00:05,61,ATL,shot,Isaiah Taylor,,,,,,,,,Kent Bazemore,3,,,made,,Jump Shot,23,227,27,47.7,86.3,Bazemore  3PT Jump Shot (3 PTS) (Taylor 1 AST)
"=""0021700993""",2017-2018 Regular Season,2018-03-11,Zach LaVine,Lauri Markkanen,Robin Lopez,David Nwaba,Kris Dunn,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Isaiah Taylor,1,0,3,00:11:06,00:00:54,00:00:27,14,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,26,-12,256,26.2,30.6,MISS Markkanen 26' 3PT Jump Shot
