game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Kosta Koufos,Nikola Jokic,,,,,,,Nikola Jokic,,De'Aaron Fox,,,,jump ball,,,,,,Jump Ball Jokic vs. Koufos: Tip to Fox
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:46,00:00:14,00:00:14,7,SAC,miss,,,,,,,,,,Bogdan Bogdanovic,0,,,missed,,Jump Shot,24,117,215,13.3,26.5,MISS Bogdanovic 24' 3PT Jump Shot
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:42,00:00:18,00:00:04,8,DEN,rebound,,,,,,,,,,Paul Millsap,,,,,,rebound defensive,,,,,,Millsap REBOUND (Off:0 Def:1)
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:29,00:00:31,00:00:13,9,DEN,miss,,,,,,,,,,Gary Harris,0,,,missed,,Jump Shot,25,128,210,37.8,68.0,MISS Harris 25' 3PT Jump Shot
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:26,00:00:34,00:00:03,10,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,0,00:11:20,00:00:40,00:00:06,11,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,Pullup Jump Shot,8,-31,69,28.1,11.9,Fox 8' Pullup Jump Shot (2 PTS)
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,2,00:11:00,00:01:00,00:00:20,12,DEN,shot,Jamal Murray,,,,,,,,,Nikola Jokic,2,,,made,,Jump Shot,15,-123,84,12.7,80.6,Jokic 15' Jump Shot (2 PTS) (Murray 1 AST)
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,2,00:10:41,00:01:19,00:00:19,14,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Jump Shot,24,126,209,12.4,25.9,MISS Fox 24' 3PT Jump Shot
"=""0021700996""",2017-2018 Regular Season,2018-03-11,Justin Jackson,Zach Randolph,Kosta Koufos,Bogdan Bogdanovic,De'Aaron Fox,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,2,00:10:39,00:01:21,00:00:02,15,DEN,rebound,,,,,,,,,,Paul Millsap,,,,,,rebound defensive,,,,,,Millsap REBOUND (Off:0 Def:2)
