game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,0,0:12:00,0:00:00,0:00:00,4,ORL,jump ball,,Aron Baynes,Nikola Vucevic,,,,,,,Nikola Vucevic,,D.J. Augustin,,,,jump ball,,,,,,Jump Ball Vucevic vs. Baynes: Tip to Augustin
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,2,0:11:33,0:00:27,0:00:27,7,ORL,shot,,,,,,,,,,Jonathon Simmons,2,,,made,,Floating Jump Shot,3,8,25,25.8,86.5,Simmons 3' Floating Jump Shot (2 PTS)
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,2,0:11:17,0:00:43,0:00:16,8,BOS,miss,,,,Jonathan Isaac,,,,,,Al Horford,0,,,missed,,Layup,7,-69,15,31.9,6.5,"MISS Horford 7' Layup, Isaac BLOCK (1 BLK)"
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,2,0:11:16,0:00:44,0:00:01,10,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound offensive,,,,,,Horford REBOUND (Off:1 Def:0)
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,2,0:11:14,0:00:46,0:00:02,11,BOS,miss,,,,Nikola Vucevic,,,,,,Aron Baynes,0,,,missed,,Layup,4,-13,35,26.3,8.5,"MISS Baynes 4' Layup, Vucevic BLOCK (1 BLK)"
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,2,0:11:14,0:00:46,0:00:00,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Celtics Rebound
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,2,0:11:12,0:00:48,0:00:02,14,ORL,foul,,,,,,,,Terry Rozier,,Jonathon Simmons,,,p.foul,,,p.foul,,,,,,Simmons P.FOUL (P1.T1) (S.Wall)
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,2,0:10:59,0:01:01,0:00:13,16,BOS,miss,,,,Jonathan Isaac,,,,,,Al Horford,0,,,missed,,Hook Shot,7,-18,72,26.8,12.2,"MISS Horford 7' Hook Shot, Isaac BLOCK (2 BLK)"
0021701029,2017-2018 Regular Season,3/16/2018,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,Mario Hezonja,Jonathan Isaac,Nikola Vucevic,Jonathon Simmons,D.J. Augustin,1,0,2,0:10:56,0:01:04,0:00:03,18,ORL,rebound,,,,,,,,,,D.J. Augustin,,,,,,rebound defensive,,,,,,Augustin REBOUND (Off:0 Def:1)
