game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,0,0,0:12:00,0:00:00,0:00:00,4,SAC,jump ball,,Willie Cauley-Stein,Zaza Pachulia,,,,,,,Zaza Pachulia,,Justin Jackson,,,,jump ball,,,,,,Jump Ball Pachulia vs. Cauley-Stein: Tip to Jackson
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,0,0,0:11:37,0:00:23,0:00:23,7,SAC,turnover,,,,,,,,,,Willie Cauley-Stein,,,lost ball ,,Draymond Green,lost ball ,,,,,,"Cauley-Stein Lost Ball Turnover (P1.T1), Green STEAL (1 STL)"
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,0,3,0:11:16,0:00:44,0:00:21,9,GSW,shot,Quinn Cook,,,,,,,,,Andre Iguodala,3,,,made,,Pullup Jump Shot,22,222,25,47.2,86.5,Iguodala  3PT Pullup Jump Shot (3 PTS) (Cook 1 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,3,0:10:56,0:01:04,0:00:20,11,SAC,shot,De'Aaron Fox,,,,,,,,,Zach Randolph,3,,,made,,Jump Shot,26,-91,239,34.1,28.9,Randolph 26' 3PT Jump Shot (3 PTS) (Fox 1 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,3,0:10:40,0:01:20,0:00:16,13,GSW,miss,,,,,,,,,,Draymond Green,0,,,missed,,Jump Shot,27,-183,204,6.7,68.6,MISS Green 27' 3PT Jump Shot
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,3,0:10:37,0:01:23,0:00:03,14,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,3,0:10:29,0:01:31,0:00:08,15,GSW,foul,,,,,,,,Zach Randolph,,Zaza Pachulia,,,p.foul,,,p.foul,,,,,,Pachulia P.FOUL (P1.T1) (S.Foster)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,3,0:10:23,0:01:37,0:00:06,17,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Jump Shot,14,141,22,10.9,7.2,MISS Fox 14' Jump Shot
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,3,0:10:21,0:01:39,0:00:02,18,GSW,rebound,,,,,,,,,,Zaza Pachulia,,,,,,rebound defensive,,,,,,Pachulia REBOUND (Off:0 Def:1)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,5,0:10:11,0:01:49,0:00:10,19,GSW,shot,,,,,,,,,,Quinn Cook,2,,,made,,Pullup Jump Shot,20,101,176,35.1,71.4,Cook 20' Pullup Jump Shot (2 PTS)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,5,0:09:57,0:02:03,0:00:14,20,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,,,,unknown,,,,,,Fox Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,8,0:09:44,0:02:16,0:00:13,21,GSW,shot,Draymond Green,,,,,,,,,Quinn Cook,3,,,made,,Jump Shot,23,-229,28,2.1,86.2,Cook  3PT Jump Shot (5 PTS) (Green 1 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,8,0:09:23,0:02:37,0:00:21,23,SAC,miss,,,,,,,,,,Justin Jackson,0,,,missed,,Jump Shot,26,-25,263,27.5,31.3,MISS Jackson 26' 3PT Jump Shot
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,8,0:09:19,0:02:41,0:00:04,24,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,3,11,0:09:15,0:02:45,0:00:04,25,GSW,shot,Draymond Green,,,,,,,,,Nick Young,3,,,made,,Jump Shot,26,139,216,38.9,67.4,Young 26' 3PT Jump Shot (3 PTS) (Green 2 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,5,11,0:08:53,0:03:07,0:00:22,27,SAC,shot,,,,,,,,,,Zach Randolph,2,,,made,,Fadeaway Jumper,17,132,110,11.8,16,Randolph 17' Fadeaway Jumper (5 PTS)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,5,11,0:08:42,0:03:18,0:00:11,28,GSW,turnover,,,,,,,,,,Nick Young,,,bad pass ,,Zach Randolph,bad pass ,,,,,,"Randolph STEAL (1 STL), Young Bad Pass Turnover (P1.T1)"
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,7,11,0:08:35,0:03:25,0:00:07,30,SAC,shot,Zach Randolph,,,,,,,,,Justin Jackson,2,,,made,,Running Layup,2,5,24,24.5,7.4,Jackson 2' Running Layup (2 PTS) (Randolph 1 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,7,13,0:08:12,0:03:48,0:00:23,32,GSW,shot,Zaza Pachulia,,,,,,,,,Draymond Green,2,,,made,,unknown,2,-14,18,23.6,87.2,Green 2' Cutting Layup Shot (2 PTS) (Pachulia 1 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,7,13,0:07:50,0:04:10,0:00:22,34,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Jump Shot,25,-36,248,28.6,29.8,MISS Fox 25' 3PT Jump Shot
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,7,13,0:07:47,0:04:13,0:00:03,35,GSW,rebound,,,,,,,,,,Zaza Pachulia,,,,,,rebound defensive,,,,,,Pachulia REBOUND (Off:0 Def:2)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,7,15,0:07:35,0:04:25,0:00:12,36,GSW,shot,Quinn Cook,,,,,,,,,Zaza Pachulia,2,,,made,,Jump Shot,19,90,170,34,72,Pachulia 19' Jump Shot (2 PTS) (Cook 2 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,7,15,0:07:14,0:04:46,0:00:21,38,SAC,miss,,,,,,,,,,Willie Cauley-Stein,0,,,missed,,Layup,2,-19,13,26.9,6.3,MISS Cauley-Stein 2' Layup
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,7,15,0:07:11,0:04:49,0:00:03,39,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound offensive,,,,,,Cauley-Stein REBOUND (Off:1 Def:0)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,15,0:07:10,0:04:50,0:00:01,40,SAC,shot,Willie Cauley-Stein,,,,,,,,,Justin Jackson,2,,,made,,Reverse Layup,2,3,19,24.7,6.9,Jackson 2' Reverse Layup (4 PTS) (Cauley-Stein 1 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,15,0:06:49,0:05:11,0:00:21,42,SAC,foul,,,,,,,,Andre Iguodala,,Justin Jackson,,,s.foul,,,s.foul,,,,,,Jackson S.FOUL (P1.T1) (D.Taylor)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,15,0:06:49,0:05:11,0:00:00,44,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,WARRIORS Timeout: Regular (Full 1 Short 0)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,16,0:06:49,0:05:11,0:00:00,45,GSW,free throw,,,,,,,1,,2,Andre Iguodala,1,,,made,,Free Throw 1 of 2,,,,,,Iguodala Free Throw 1 of 2 (4 PTS)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,16,0:06:49,0:05:11,0:00:00,46,GSW,free throw,,,,,,,2,,2,Andre Iguodala,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Iguodala Free Throw 2 of 2
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,16,0:06:47,0:05:13,0:00:02,47,SAC,rebound,,,,,,,,,,Justin Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:1)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,16,0:06:34,0:05:26,0:00:13,48,SAC,miss,,,,,,,,,,Zach Randolph,0,,,missed,,Jump Shot,26,-129,224,37.9,27.4,MISS Randolph 26' 3PT Jump Shot
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,16,0:06:29,0:05:31,0:00:05,49,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:2)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,16,0:06:17,0:05:43,0:00:12,50,SAC,foul,,,,,,,,Nick Young,,Bogdan Bogdanovic,,,p.foul,,,p.foul,,,,,,Bogdanovic P.FOUL (P1.T2) (S.Foster)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,9,19,0:06:04,0:05:56,0:00:13,53,GSW,shot,Andre Iguodala,,,,,,,,,Nick Young,3,,,made,,Jump Shot,29,-210,193,4,69.7,Young 29' 3PT Jump Shot (6 PTS) (Iguodala 1 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,12,19,0:05:56,0:06:04,0:00:08,55,SAC,shot,De'Aaron Fox,,,,,,,,,Bogdan Bogdanovic,3,,,made,,Running Jump Shot,25,-188,163,43.8,21.3,Bogdanovic 25' 3PT Running Jump Shot (3 PTS) (Fox 2 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,12,19,0:05:38,0:06:22,0:00:18,57,GSW,miss,,,,,,,,,,Zaza Pachulia,0,,,missed,,Driving Reverse Layup,2,-17,16,23.3,87.4,MISS Pachulia 2' Driving Reverse Layup
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,12,19,0:05:33,0:06:27,0:00:05,58,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:2)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,12,19,0:05:30,0:06:30,0:00:03,59,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,lost ball ,,Quinn Cook,lost ball ,,,,,,"Fox Lost Ball Turnover (P2.T3), Cook STEAL (1 STL)"
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,12,19,0:05:19,0:06:41,0:00:11,61,GSW,miss,,,,,,,,,,Zaza Pachulia,0,,,missed,,Jump Shot,7,2,73,25.2,81.7,MISS Pachulia 7' Jump Shot
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,12,19,0:05:15,0:06:45,0:00:04,63,SAC,rebound,,,,,,,,,,Justin Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:2)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,12,19,0:05:12,0:06:48,0:00:03,64,SAC,turnover,,,,,,,,,,Bogdan Bogdanovic,,,bad pass ,,Draymond Green,bad pass ,,,,,,"Bogdanovic Bad Pass Turnover (P1.T4), Green STEAL (2 STL)"
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,12,21,0:05:06,0:06:54,0:00:06,66,GSW,shot,Draymond Green,,,,,,,,,Quinn Cook,2,,,made,,Running Layup,2,9,20,25.9,87,Cook 2' Running Layup (7 PTS) (Green 3 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,15,21,0:04:56,0:07:04,0:00:10,68,SAC,shot,Willie Cauley-Stein,,,,,,,,,Bogdan Bogdanovic,3,,,made,,Jump Shot,26,136,221,11.4,27.1,Bogdanovic 26' 3PT Jump Shot (6 PTS) (Cauley-Stein 2 AST)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Draymond Green,Zaza Pachulia,Nick Young,Quinn Cook,1,15,21,0:04:43,0:07:17,0:00:13,70,SAC,foul,,,,,,,,Andre Iguodala,,Bogdan Bogdanovic,,,p.foul,,,p.foul,,,,,,Bogdanovic P.FOUL (P2.T3) (S.Foster)
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Zaza Pachulia,Nick Young,Quinn Cook,JaVale McGee,1,15,21,0:04:43,0:07:17,0:00:00,72,GSW,sub,,,,,JaVale McGee,Draymond Green,,,,Draymond Green,,,,,,sub,,,,,,SUB: McGee FOR Green
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Bogdan Bogdanovic,De'Aaron Fox,Andre Iguodala,Nick Young,Quinn Cook,JaVale McGee,Kevon Looney,1,15,21,0:04:43,0:07:17,0:00:00,73,GSW,sub,,,,,Kevon Looney,Zaza Pachulia,,,,Zaza Pachulia,,,,,,sub,,,,,,SUB: Looney FOR Pachulia
0021701033,2017-2018 Regular Season,3/16/2018,Justin Jackson,Zach Randolph,Bogdan Bogdanovic,De'Aaron Fox,Skal Labissiere,Andre Iguodala,Nick Young,Quinn Cook,JaVale McGee,Kevon Looney,1,15,21,0:04:43,0:07:17,0:00:00,74,SAC,sub,,,,,Skal Labissiere,Willie Cauley-Stein,,,,Willie Cauley-Stein,,,,,,sub,,,,,,SUB: Labissiere FOR Cauley-Stein
