game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Bam Adebayo,Brook Lopez,,,,,,,Brook Lopez,,Lonzo Ball,,,,jump ball,,,,,,Jump Ball Lopez vs. Adebayo: Tip to Ball
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:42,00:00:18,00:00:18,7,LAL,turnover,,,,,,,,,,Brook Lopez,,,bad pass ,,Josh Richardson,bad pass ,,,,,,"Richardson STEAL (1 STL), Lopez Bad Pass Turnover (P1.T1)"
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:39,00:00:21,00:00:03,9,MIA,turnover,,,,,,,,,,Josh Richardson,,,lost ball ,,Kyle Kuzma,lost ball ,,,,,,"Richardson Lost Ball Turnover (P1.T1), Kuzma STEAL (1 STL)"
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:35,00:00:25,00:00:04,11,LAL,miss,,,,James Johnson,,,,,,Julius Randle,0,,,missed,,Turnaround Jump Shot,9,-13,85,23.7,80.5,"Johnson BLOCK (1 BLK), MISS Randle 9' Turnaround Jump Shot"
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,0,0,00:11:35,00:00:25,00:00:00,12,MIA,rebound,,,,,,,,,,James Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:0 Def:1)
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,0,00:11:25,00:00:35,00:00:10,13,MIA,shot,James Johnson,,,,,,,,,Goran Dragic,3,,,made,,Jump Shot,26,-1,256,25.1,30.6,Dragic 26' 3PT Jump Shot (3 PTS) (Johnson 1 AST)
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,3,2,00:11:05,00:00:55,00:00:20,15,LAL,shot,Lonzo Ball,,,,,,,,,Julius Randle,2,,,made,,unknown,1,5,6,25.5,88.4,Randle 1' Cutting Dunk Shot (2 PTS) (Ball 1 AST)
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,6,2,00:10:52,00:01:08,00:00:13,17,MIA,shot,Josh Richardson,,,,,,,,,James Johnson,3,,,made,,Jump Shot,24,117,214,13.3,26.4,Johnson 24' 3PT Jump Shot (3 PTS) (Richardson 1 AST)
"=""0021701034""",2017-2018 Regular Season,2018-03-16,Josh Richardson,James Johnson,Bam Adebayo,Tyler Johnson,Goran Dragic,Kyle Kuzma,Julius Randle,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,1,6,2,00:10:33,00:01:27,00:00:19,20,LAL,miss,,,,,,,,,,Julius Randle,0,,,missed,,Step Back Jump Shot,21,41,205,29.1,68.5,MISS Randle 21' Step Back Jump Shot
