game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Al Jefferson,Marcin Gortat,,,,,,,Marcin Gortat,,Markieff Morris,,,,jump ball,,,,,,Jump Ball Gortat vs. Jefferson: Tip to Mark Morris
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:11:43,00:00:17,00:00:17,7,WAS,miss,,,,,,,,,,Otto Porter Jr.,0,,,missed,,unknown,7,46,57,29.6,83.3,MISS Porter Jr. 7' Driving Floating Jump Shot
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,0,0,00:11:41,00:00:19,00:00:02,8,IND,rebound,,,,,,,,,,Al Jefferson,,,,,,rebound defensive,,,,,,Jefferson REBOUND (Off:0 Def:1)
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,2,0,00:11:21,00:00:39,00:00:20,9,IND,shot,,,,,,,,,,Al Jefferson,2,,,made,,Layup,1,-3,5,25.3,5.5,Jefferson 1' Layup (2 PTS)
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,2,2,00:11:05,00:00:55,00:00:16,10,WAS,shot,Markieff Morris,,,,,,,,,Tomas Satoransky,2,,,made,,unknown,5,41,28,29.1,86.2,Satoransky 5' Driving Floating Bank Jump Shot (2 PTS) (Mark Morris 1 AST)
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,4,2,00:10:48,00:01:12,00:00:17,11,IND,shot,Cory Joseph,,,,,,,,,Al Jefferson,2,,,made,,Jump Shot,13,-33,122,28.3,17.2,Jefferson 13' Jump Shot (4 PTS) (Joseph 1 AST)
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,4,2,00:10:34,00:01:26,00:00:14,14,WAS,miss,,,,,,,,,,Markieff Morris,0,,,missed,,Fadeaway Jumper,13,-127,25,12.3,86.5,MISS Mark Morris 13' Fadeaway Jumper
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,4,2,00:10:31,00:01:29,00:00:03,15,IND,rebound,,,,,,,,,,Al Jefferson,,,,,,rebound defensive,,,,,,Jefferson REBOUND (Off:0 Def:2)
"=""0021701035""",2017-2018 Regular Season,2018-03-17,Bojan Bogdanovic,Thaddeus Young,Al Jefferson,Victor Oladipo,Cory Joseph,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,1,6,2,00:10:20,00:01:40,00:00:11,16,IND,shot,,,,,,,,,,Victor Oladipo,2,,,made,,Driving Finger Roll Layup,2,16,14,23.4,6.4,Oladipo 2' Driving Finger Roll Layup (2 PTS)
