game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Dwight Powell,Jarrett Allen,,,,,,,Jarrett Allen,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Allen vs. Powell: Tip to Russell
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,3,00:11:45,00:00:15,00:00:15,7,BKN,shot,Jarrett Allen,,,,,,,,,D'Angelo Russell,3,,,made,,Jump Shot,22,221,4,47.1,88.6,Russell  3PT Jump Shot (3 PTS) (Allen 1 AST)
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,3,00:11:28,00:00:32,00:00:17,9,DAL,miss,,,,,,,,,,Dennis Smith Jr.,0,,,missed,,unknown,13,5,126,24.5,17.6,MISS Smith Jr. 13' Driving Floating Jump Shot
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,3,00:11:26,00:00:34,00:00:02,10,BKN,rebound,,,,,,,,,,D'Angelo Russell,,,,,,rebound defensive,,,,,,Russell REBOUND (Off:0 Def:1)
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,6,00:11:10,00:00:50,00:00:16,11,BKN,shot,D'Angelo Russell,,,,,,,,,DeMarre Carroll,3,,,made,,Jump Shot,25,-207,133,4.3,75.7,Carroll 25' 3PT Jump Shot (3 PTS) (Russell 1 AST)
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,6,00:10:59,00:01:01,00:00:11,13,DAL,miss,,,,,,,,,,Kyle Collinsworth,0,,,missed,,unknown,10,98,34,15.2,8.4,MISS Collinsworth 10' Driving Floating Jump Shot
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,6,00:10:56,00:01:04,00:00:03,14,DAL,rebound,,,,,,,,,,Kyle Collinsworth,,,,,,rebound offensive,,,,,,Collinsworth REBOUND (Off:1 Def:0)
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,6,00:10:56,00:01:04,00:00:00,15,DAL,miss,,,,,,,,,,Kyle Collinsworth,0,,,missed,,unknown,1,0,-6,25.0,4.4,MISS Collinsworth 1' Tip Layup Shot
"=""0021701037""",2017-2018 Regular Season,2018-03-17,Doug McDermott,Dirk Nowitzki,Dwight Powell,Kyle Collinsworth,Dennis Smith Jr.,DeMarre Carroll,Rondae Hollis-Jefferson,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,6,00:10:55,00:01:05,00:00:01,16,BKN,rebound,,,,,,,,,,DeMarre Carroll,,,,,,rebound defensive,,,,,,Carroll REBOUND (Off:0 Def:1)
