game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Aron Baynes,Anthony Davis,,,,,,,Anthony Davis,,Rajon Rondo,,,,jump ball,,,,,,Jump Ball Davis vs. Baynes: Tip to Rondo
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,0,0,00:11:41,00:00:19,00:00:19,7,NOP,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Fadeaway Jumper,10,0,103,25.0,78.7,MISS Davis 10' Fadeaway Jumper
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,0,0,00:11:37,00:00:23,00:00:04,8,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,0,0,00:11:17,00:00:43,00:00:20,9,BOS,miss,,,,,,,,,,Jayson Tatum,0,,,missed,,Pullup Jump Shot,16,18,157,23.2,20.7,MISS Tatum 16' Pullup Jump Shot
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,0,0,00:11:13,00:00:47,00:00:04,10,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound offensive,,,,,,Horford REBOUND (Off:1 Def:1)
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,3,0,00:11:12,00:00:48,00:00:01,11,BOS,shot,Al Horford,,,,,,,,,Terry Rozier,3,,,made,,Jump Shot,23,-229,4,47.9,5.4,Rozier  3PT Jump Shot (3 PTS) (Horford 1 AST)
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,3,0,00:10:51,00:01:09,00:00:21,13,NOP,turnover,,,,,,,,,,E'Twaun Moore,,,bad pass ,,Jayson Tatum,bad pass ,,,,,,"Tatum STEAL (1 STL), Moore Bad Pass Turnover (P1.T1)"
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,5,0,00:10:47,00:01:13,00:00:04,15,BOS,shot,,,,,,,,,,Jayson Tatum,2,,,made,,unknown,1,13,4,23.7,5.4,Tatum 1' Driving Layup (2 PTS)
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,5,0,00:10:47,00:01:13,00:00:00,16,NOP,foul,,,,,,,,Jayson Tatum,,Jrue Holiday,,,s.foul,,,s.foul,,,,,,Holiday S.FOUL (P1.T1) (B.Kennedy)
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,6,0,00:10:47,00:01:13,00:00:00,18,BOS,free throw,,,,,,,1,,1,Jayson Tatum,1,,,made,,Free Throw 1 of 1,,,,,,Tatum Free Throw 1 of 1 (3 PTS)
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,6,0,00:10:36,00:01:24,00:00:11,19,NOP,miss,,,,,,,,,,Rajon Rondo,0,,,missed,,Turnaround Fadeaway ,9,-37,82,21.3,80.8,MISS Rondo 9' Turnaround Fadeaway Shot
"=""0021701047""",2017-2018 Regular Season,2018-03-18,Marcus Morris,Al Horford,Aron Baynes,Jayson Tatum,Terry Rozier,E'Twaun Moore,Anthony Davis,Emeka Okafor,Jrue Holiday,Rajon Rondo,1,6,0,00:10:32,00:01:28,00:00:04,20,BOS,rebound,,,,,,,,,,Terry Rozier,,,,,,rebound defensive,,,,,,Rozier REBOUND (Off:0 Def:1)
