game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,DeAndre Jordan,John Henson,,,,,,,John Henson,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Henson vs. Jordan: Tip to Antetokounmpo
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,0,3,00:11:34,00:00:26,00:00:26,7,MIL,shot,Eric Bledsoe,,,,,,,,,Jason Terry,3,,,made,,Jump Shot,24,236,33,48.6,85.7,Terry 24' 3PT Jump Shot (3 PTS) (Bledsoe 1 AST)
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,2,3,00:11:13,00:00:47,00:00:21,9,LAC,shot,Milos Teodosic,,,,,,,,,DeAndre Jordan,2,,,made,,Layup,1,-5,13,25.5,6.3,Jordan 1' Layup (2 PTS) (Teodosic 1 AST)
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,2,3,00:10:53,00:01:07,00:00:20,11,MIL,turnover,,,,,,,,,,Giannis Antetokounmpo,,,lost ball ,,Wesley Johnson,lost ball ,,,,,,"W. Johnson STEAL (1 STL), Antetokounmpo Lost Ball Turnover (P1.T1)"
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,4,3,00:10:39,00:01:21,00:00:14,13,LAC,shot,,,,,,,,,,Tobias Harris,2,,,made,,unknown,1,-9,1,25.9,5.1,Harris 1' Driving Layup (2 PTS)
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,4,3,00:10:39,00:01:21,00:00:00,14,MIL,foul,,,,,,,,Tobias Harris,,John Henson,,,s.foul,,,s.foul,,,,,,Henson S.FOUL (P1.T1) (M.Kogut)
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,5,3,00:10:39,00:01:21,00:00:00,16,LAC,free throw,,,,,,,1,,1,Tobias Harris,1,,,made,,Free Throw 1 of 1,,,,,,Harris Free Throw 1 of 1 (3 PTS)
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,5,5,00:10:22,00:01:38,00:00:17,17,MIL,shot,Khris Middleton,,,,,,,,,John Henson,2,,,made,,Hook Shot,5,-22,46,22.8,84.4,Henson 5' Hook Shot (2 PTS) (Middleton 1 AST)
"=""0021701070""",2017-2018 Regular Season,2018-03-21,Wesley Johnson,Tobias Harris,DeAndre Jordan,Milos Teodosic,Austin Rivers,Khris Middleton,Giannis Antetokounmpo,John Henson,Jason Terry,Eric Bledsoe,1,5,5,00:09:59,00:02:01,00:00:23,19,LAC,miss,,,,,,,,,,Wesley Johnson,0,,,missed,,Jump Shot,24,232,41,1.8,9.1,MISS W. Johnson 24' 3PT Jump Shot
