game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Marcin Gortat,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Tomas Satoransky,,,,jump ball,,,,,,Jump Ball Aldridge vs. Gortat: Tip to Satoransky
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,0,00:11:47,00:00:13,00:00:13,7,WAS,shot,Markieff Morris,,,,,,,,,Otto Porter Jr.,2,,,made,,Pullup Jump Shot,16,133,93,11.7,14.3,Porter Jr. 16' Pullup Jump Shot (2 PTS) (Mark Morris 1 AST)
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,0,00:11:22,00:00:38,00:00:25,10,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Alley Oop Layup,2,15,6,26.5,88.4,MISS Aldridge 2' Alley Oop Layup
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,0,00:11:18,00:00:42,00:00:04,11,WAS,rebound,,,,,,,,,,Otto Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:1)
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,0,00:11:09,00:00:51,00:00:09,12,WAS,miss,,,,,,,,,,Markieff Morris,0,,,missed,,Jump Shot,23,-231,-11,48.1,3.9,MISS Mark Morris  3PT Jump Shot
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,0,00:11:04,00:00:56,00:00:05,13,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,0,00:10:57,00:01:03,00:00:07,14,SAS,miss,,,,,,,,,,Danny Green,0,,,missed,,Pullup Jump Shot,26,119,228,36.9,66.2,MISS Green 26' 3PT Pullup Jump Shot
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,0,00:10:53,00:01:07,00:00:04,15,WAS,rebound,,,,,,,,,,Otto Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:2)
"=""0021701071""",2017-2018 Regular Season,2018-03-21,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tomas Satoransky,Danny Green,Kyle Anderson,LaMarcus Aldridge,Patty Mills,Dejounte Murray,1,2,0,00:10:38,00:01:22,00:00:15,16,WAS,miss,,,,,,,,,,Tomas Satoransky,0,,,missed,,Jump Shot,23,229,14,2.1,6.4,MISS Satoransky  3PT Jump Shot
