game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Deyonta Davis,Willy Hernangomez,,,,,,,Willy Hernangomez,,Jeremy Lamb,,,,jump ball,,,,,,Jump Ball Hernangomez vs. Davis: Tip to Lamb
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:11:39,00:00:21,00:00:21,7,CHA,miss,,,,Deyonta Davis,,,,,,Willy Hernangomez,0,,,missed,,Layup,4,-23,32,22.7,85.8,"Davis BLOCK (1 BLK), MISS Hernangomez 4' Layup"
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:11:36,00:00:24,00:00:03,9,MEM,rebound,,,,,,,,,,JaMychal Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:11:32,00:00:28,00:00:04,10,MEM,turnover,,,,,,,,,,Tyreke Evans,,,,,,unknown,,,,,,Evans Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:11:15,00:00:45,00:00:17,11,CHA,miss,,,,,,,,,,Michael Kidd-Gilchrist,0,,,missed,,Jump Shot,13,0,127,25.0,76.3,MISS Kidd-Gilchrist 13' Jump Shot
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:11:13,00:00:47,00:00:02,12,MEM,rebound,,,,,,,,,,Tyreke Evans,,,,,,rebound defensive,,,,,,Evans REBOUND (Off:0 Def:1)
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:11:05,00:00:55,00:00:08,13,MEM,miss,,,,Willy Hernangomez,,,,,,Jarell Martin,0,,,missed,,unknown,4,-26,27,27.6,7.7,"MISS Martin 4' Driving Layup, Hernangomez BLOCK (1 BLK)"
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:11:01,00:00:59,00:00:04,15,CHA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021701072""",2017-2018 Regular Season,2018-03-22,Jarell Martin,JaMychal Green,Deyonta Davis,Dillon Brooks,Tyreke Evans,Michael Kidd-Gilchrist,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,1,0,0,00:10:44,00:01:16,00:00:17,16,CHA,miss,,,,,,,,,,Willy Hernangomez,0,,,missed,,Jump Shot,4,27,33,27.7,85.7,MISS Hernangomez 4' Jump Shot
