game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Rudy Gobert,Dwight Powell,,,,,,,Dwight Powell,,Derrick Favors,,,,jump ball,,,,,,Jump Ball Powell vs. Gobert: Tip to Favors
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,0,0,00:11:41,00:00:19,00:00:19,7,UTA,miss,,,,,,,,,,Ricky Rubio,0,,,missed,,Jump Shot,26,159,203,9.1,25.3,MISS Rubio 26' 3PT Jump Shot
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,0,0,00:11:38,00:00:22,00:00:03,8,DAL,rebound,,,,,,,,,,Harrison Barnes,,,,,,rebound defensive,,,,,,Barnes REBOUND (Off:0 Def:1)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,0,0,00:11:28,00:00:32,00:00:10,9,DAL,miss,,,,,,,,,,Dwight Powell,0,,,missed,,Jump Shot,26,122,224,37.2,66.6,MISS Powell 26' 3PT Jump Shot
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,0,0,00:11:26,00:00:34,00:00:02,10,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,2,0,00:11:17,00:00:43,00:00:09,11,UTA,shot,Joe Ingles,,,,,,,,,Ricky Rubio,2,,,made,,Floating Jump Shot,12,-40,112,29.0,16.2,Rubio 12' Floating Jump Shot (2 PTS) (Ingles 1 AST)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,2,0,00:11:03,00:00:57,00:00:14,13,DAL,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Turnaround Jump Shot,7,3,66,25.3,82.4,MISS Barnes 7' Turnaround Jump Shot
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,2,0,00:11:01,00:00:59,00:00:02,14,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:2)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,2,0,00:10:54,00:01:06,00:00:07,15,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,10,98,10,15.2,6.0,MISS Favors 10' Jump Shot
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,2,0,00:10:50,00:01:10,00:00:04,16,UTA,rebound,,,,,,,,,,Donovan Mitchell,,,,,,rebound offensive,,,,,,Mitchell REBOUND (Off:1 Def:0)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,4,0,00:10:48,00:01:12,00:00:02,17,UTA,shot,Donovan Mitchell,,,,,,,,,Rudy Gobert,2,,,made,,Dunk,1,-6,5,25.6,5.5,Gobert 1' Dunk (2 PTS) (Mitchell 1 AST)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,4,2,00:10:35,00:01:25,00:00:13,19,DAL,shot,,,,,,,,,,J.J. Barea,2,,,made,,unknown,7,62,27,31.2,86.3,Barea 7' Driving Floating Bank Jump Shot (2 PTS)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,6,2,00:10:18,00:01:42,00:00:17,20,UTA,shot,Joe Ingles,,,,,,,,,Donovan Mitchell,2,,,made,,unknown,2,22,4,22.8,5.4,Mitchell 2' Driving Layup (2 PTS) (Ingles 2 AST)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,6,4,00:10:03,00:01:57,00:00:15,22,DAL,shot,,,,,,,,,,Harrison Barnes,2,,,made,,unknown,3,-25,22,22.5,86.8,Barnes 3' Driving Floating Bank Jump Shot (2 PTS)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,8,4,00:09:47,00:02:13,00:00:16,23,UTA,shot,Joe Ingles,,,,,,,,,Ricky Rubio,2,,,made,,Driving Finger Roll Layup,2,-3,17,25.3,6.7,Rubio 2' Driving Finger Roll Layup (4 PTS) (Ingles 3 AST)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,8,4,00:09:29,00:02:31,00:00:18,25,DAL,turnover,,,,,,,,,,Dorian Finney-Smith,,,bad pass ,,Donovan Mitchell,bad pass ,,,,,,"Mitchell STEAL (1 STL), Finney-Smith Bad Pass Turnover (P1.T1)"
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,8,4,00:09:20,00:02:40,00:00:09,27,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Jump Shot,23,226,38,2.4,8.8,MISS Mitchell  3PT Jump Shot
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,8,4,00:09:18,00:02:42,00:00:02,28,DAL,rebound,,,,,,,,,,Dwight Powell,,,,,,rebound defensive,,,,,,Powell REBOUND (Off:0 Def:1)
"=""0021701076""",2017-2018 Regular Season,2018-03-22,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Harrison Barnes,Dirk Nowitzki,Dwight Powell,Dorian Finney-Smith,J.J. Barea,1,8,4,00:09:01,00:02:59,00:00:17,29,DAL,turnover,,,,,,,,,,Dirk Nowitzki,,,lost ball ,,Ricky Rubio,lost ball ,,,,,,"Rubio STEAL (1 STL), Nowitzki Lost Ball Turnover (P1.T2)"
