game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,DeAndre Jordan,Myles Turner,,,,,,,Myles Turner,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Turner vs. Jordan: Tip to Harris
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,0,00:11:44,00:00:16,00:00:16,7,LAC,shot,Austin Rivers,,,,,,,,,Wesley Johnson,3,,,made,,Jump Shot,29,-165,243,41.5,29.3,W. Johnson 29' 3PT Jump Shot (3 PTS) (Rivers 1 AST)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,3,00:11:22,00:00:38,00:00:22,9,IND,shot,Bojan Bogdanovic,,,,,,,,,Thaddeus Young,3,,,made,,Jump Shot,26,194,170,44.4,72.0,Young 26' 3PT Jump Shot (3 PTS) (Bogdanovic 1 AST)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,3,00:11:12,00:00:48,00:00:10,11,LAC,turnover,,,,,,,,,,Milos Teodosic,,,lost ball ,,Darren Collison,lost ball ,,,,,,"Teodosic Lost Ball Turnover (P1.T1), Collison STEAL (1 STL)"
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,6,00:11:07,00:00:53,00:00:05,13,IND,shot,Victor Oladipo,,,,,,,,,Darren Collison,3,,,made,,Jump Shot,26,166,196,41.6,69.4,Collison 26' 3PT Jump Shot (3 PTS) (Oladipo 1 AST)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,6,00:10:47,00:01:13,00:00:20,15,LAC,miss,,,,,,,,,,Austin Rivers,0,,,missed,,Jump Shot,27,-163,209,41.3,25.9,MISS Rivers 27' 3PT Jump Shot
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,6,00:10:43,00:01:17,00:00:04,16,IND,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,6,00:10:33,00:01:27,00:00:10,17,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Jump Shot,18,108,146,35.8,74.4,MISS Turner 18' Jump Shot
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,6,00:10:30,00:01:30,00:00:03,18,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,6,00:10:19,00:01:41,00:00:11,19,LAC,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Step Back Jump Shot,15,-129,75,37.9,12.5,MISS Harris 15' Step Back Jump Shot
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,6,00:10:17,00:01:43,00:00:02,20,IND,rebound,,,,,,,,,,Victor Oladipo,,,,,,rebound defensive,,,,,,Oladipo REBOUND (Off:0 Def:1)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,3,6,00:09:59,00:02:01,00:00:18,21,IND,turnover,,,,,,,,,,Myles Turner,,,3 second violation,,,3 second violation,,,,,,Turner 3 Second Violation Turnover (P1.T1)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,5,6,00:09:49,00:02:11,00:00:10,22,LAC,shot,,,,,,,,,,Tobias Harris,2,,,made,,Floating Jump Shot,6,-51,23,30.1,7.3,Harris 6' Floating Jump Shot (2 PTS)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,5,6,00:09:49,00:02:11,00:00:00,23,IND,violation,,,,,,,,,,Myles Turner,,,,,,violation:defensive goaltending,,,,,,Turner Violation:Defensive Goaltending (B.Kennedy)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,5,8,00:09:30,00:02:30,00:00:19,24,IND,shot,,,,,,,,,,Thaddeus Young,2,,,made,,Turnaround Bank Hook Shot,6,-61,15,18.9,87.5,Young 6' Turnaround Bank Hook Shot (5 PTS)
"=""0021701078""",2017-2018 Regular Season,2018-03-23,Wesley Johnson,Tobias Harris,DeAndre Jordan,Austin Rivers,Milos Teodosic,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,1,7,8,00:09:16,00:02:44,00:00:14,25,LAC,shot,Milos Teodosic,,,,,,,,,DeAndre Jordan,2,,,made,,unknown,2,-6,20,25.6,7.0,Jordan 2' Cutting Dunk Shot (2 PTS) (Teodosic 1 AST)
