game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,4,PHX,jump ball,,Marquese Chriss,Kevin Love,,,,,,,Kevin Love,,Dragan Bender,,,,jump ball,,,,,,Jump Ball Love vs. Chriss: Tip to Bender
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:11:44,00:00:16,00:00:16,7,PHX,miss,,,,,,,,,,Josh Jackson,0,,,missed,,Pullup Jump Shot,12,13,118,23.7,16.8,MISS Jackson 12' Pullup Jump Shot
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:11:42,00:00:18,00:00:02,8,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:11:36,00:00:24,00:00:06,9,CLE,miss,,,,,,,,,,Jeff Green,0,,,missed,,Jump Shot,24,234,24,48.4,86.6,MISS Green 24' 3PT Jump Shot
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:11:33,00:00:27,00:00:03,10,PHX,rebound,,,,,,,,,,Marquese Chriss,,,,,,rebound defensive,,,,,,Chriss REBOUND (Off:0 Def:1)
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:11:19,00:00:41,00:00:14,12,PHX,miss,,,,,,,,,,Marquese Chriss,0,,,missed,,Jump Shot,25,129,216,12.1,26.6,MISS Chriss 25' 3PT Jump Shot
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:11:16,00:00:44,00:00:03,13,CLE,rebound,,,,,,,,,,LeBron James,,,,,,rebound defensive,,,,,,James REBOUND (Off:0 Def:1)
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:11:02,00:00:58,00:00:14,14,CLE,turnover,,,,,,,,,,Jose Calderon,,,bad pass ,,Dragan Bender,bad pass ,,,,,,"Bender STEAL (1 STL), Calderon Bad Pass Turnover (P1.T1)"
"=""0021701080""",2017-2018 Regular Season,2018-03-23,Josh Jackson,Dragan Bender,Marquese Chriss,Troy Daniels,Elfrid Payton,LeBron James,Jeff Green,Kevin Love,George Hill,Jose Calderon,1,0,0,00:10:56,00:01:04,00:00:06,16,PHX,turnover,,,,,,,,,,Elfrid Payton,,,bad pass ,,George Hill,bad pass ,,,,,,"Payton Bad Pass Turnover (P1.T1), G. Hill STEAL (1 STL)"
